"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2011",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
West Hollywood      ,"34,712","34,603",109,"24,688","2,297",711,"2,363","19,272",45,"22,592",8.5%,1.53
Westlake Village    ,"8,305","8,177",128,"3,384","2,370",626,109,152,127,"3,258",3.7%,2.51
Whittier            ,"85,837","84,202","1,635","29,592","19,354","1,165","2,306","6,574",193,"28,288",4.4%,2.98
,,,,,,,,,,, ,
Balance Of County    ,"1,062,557","1,045,576","16,981","317,083","224,773","19,257","17,951","44,347","10,755","299,630",5.5%,3.49
Incorporated,"8,823,391","8,666,456","156,935","3,131,121","1,493,330","209,589","264,742","1,115,957","47,503","2,945,066",5.9%,2.94
 ,,,,,,,,,,, ,
County Total,"9,885,948","9,712,032","173,916","3,448,204","1,718,103","228,846","282,693","1,160,304","58,258","3,244,696",5.9%,2.99
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Madera County,,,,,,,,,,, ,
Chowchilla          ,"18,726","11,530","7,196","4,226","3,405",75,400,332,14,"3,739",11.5%,3.08
Madera              ,"61,616","61,025",591,"17,062","12,240",324,"2,167","1,882",449,"15,970",6.4%,3.82
,,,,,,,,,,, ,
Balance Of County    ,"71,116","70,542",574,"27,956","23,613",260,804,336,"2,943","23,823",14.8%,2.96
Incorporated,"80,342","72,555","7,787","21,288","15,645",399,"2,567","2,214",463,"19,709",7.4%,3.68
 ,,,,,,,,,,, ,
County Total,"151,458","143,097","8,361","49,244","39,258",659,"3,371","2,550","3,406","43,532",11.6%,3.29
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Marin County,,,,,,,,,,, ,
Belvedere           ,"2,081","2,081",0,"1,045",884,45,79,37,0,928,11.2%,2.24
Corte Madera        ,"9,315","9,315",0,"4,026","2,497",609,373,547,0,"3,795",5.7%,2.46
Fairfax             ,"7,471","7,449",22,"3,585","2,272",345,486,469,13,"3,371",6.0%,2.21
Larkspur            ,"11,990","11,867",123,"6,376","2,596",421,484,"2,586",289,"5,903",7.4%,2.01
Mill Valley         ,"14,067","13,991",76,"6,561","4,357",617,332,"1,241",14,"6,118",6.8%,2.29
Novato              ,"52,273","51,640",633,"21,196","12,455","3,427","1,321","3,445",548,"20,294",4.3%,2.55
Ross                ,"2,433","2,381",52,885,826,14,19,26,0,799,9.7%,2.98
San Anselmo         ,"12,421","12,368",53,"5,538","4,192",263,356,690,37,"5,246",5.3%,2.36
San Rafael          ,"58,148","56,003","2,145","24,014","11,099","2,373","2,088","8,047",407,"22,788",5.1%,2.46
Sausalito           ,"7,098","7,085",13,"4,537","1,789",824,901,938,85,"4,108",9.5%,1.73
Tiburon             ,"9,037","8,999",38,"4,026","2,634",384,370,624,14,"3,737",7.2%,2.41
,,,,,,,,,,, ,
Balance Of County    ,"68,183","61,973","6,210","29,534","22,685","1,889","1,402","2,993",565,"26,227",11.2%,2.36
Incorporated,"186,334","183,179","3,155","81,789","45,601","9,322","6,809","18,650","1,407","77,087",5.7%,2.38
 ,,,,,,,,,,, ,
County Total,"254,517","245,152","9,365","111,323","68,286","11,211","8,211","21,643","1,972","103,314",7.2%,2.37
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mariposa County,,,,,,,,,,, ,
County Total,"18,235","17,510",725,"10,245","6,963",120,517,309,"2,336","7,737",24.5%,2.26
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mendocino County,,,,,,,,,,, ,
Fort Bragg          ,"7,289","7,030",259,"3,206","2,009",145,384,354,314,"2,877",10.3%,2.44
Point Arena         ,446,446,0,225,144,11,34,11,25,191,15.1%,2.34
Ukiah               ,"15,906","15,251",655,"6,491","3,596",412,839,"1,205",439,"6,154",5.2%,2.48
Willits             ,"4,886","4,792",94,"2,074","1,121",93,303,280,277,"1,918",7.5%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"59,162","58,236",926,"28,417","21,397",708,939,909,"4,464","23,881",16.0%,2.44
Incorporated,"28,527","27,519","1,008","11,996","6,870",661,"1,560","1,850","1,055","11,140",7.1%,2.47
 ,,,,,,,,,,, ,
County Total,"87,689","85,755","1,934","40,413","28,267","1,369","2,499","2,759","5,519","35,021",13.3%,2.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Merced County,,,,,,,,,,, ,
Atwater             ,"28,482","28,380",102,"9,774","6,296",607,"1,549",582,740,"8,864",9.3%,3.20
Dos Palos           ,"5,009","4,981",28,"1,700","1,453",0,81,120,46,"1,506",11.4%,3.31
Gustine             ,"5,572","5,572",0,"2,087","1,719",48,85,84,151,"1,881",9.9%,2.96
Livingston          ,"13,323","13,319",4,"3,357","2,841",10,189,263,54,"3,194",4.9%,4.17
Los Banos           ,"36,769","36,588",181,"11,496","9,605",142,475,878,396,"10,402",9.5%,3.52
Merced              ,"79,742","78,662","1,080","27,422","16,857","1,043","4,080","4,696",746,"24,945",9.0%,3.15
,,,,,,,,,,, ,
Balance Of County    ,"90,400","86,434","3,966","28,020","22,299",621,"1,001",738,"3,361","25,129",10.3%,3.44
Incorporated,"168,897","167,502","1,395","55,836","38,771","1,850","6,459","6,623","2,133","50,792",9.0%,3.30
,,,,,,,,,,, ,
County Total,"259,297","253,936","5,361","83,856","61,070","2,471","7,460","7,361","5,494","75,921",9.5%,3.34
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Modoc County,,,,,,,,,,, ,
Alturas             ,"2,832","2,809",23,"1,406","1,085",25,84,131,81,"1,233",12.3%,2.28
,,,,,,,,,,, ,
Balance Of County    ,"6,873","6,518",355,"3,796","2,829",67,35,30,835,"2,822",25.7%,2.31
Incorporated,"2,832","2,809",23,"1,406","1,085",25,84,131,81,"1,233",12.3%,2.28
 ,,,,,,,,,,, ,
County Total,"9,705","9,327",378,"5,202","3,914",92,119,161,916,"4,055",22.0%,2.30
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mono County,,,,,,,,,,, ,
Mammoth Lakes       ,"8,263","8,105",158,"9,629","2,368",290,"2,400","4,424",147,"3,239",66.4%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"6,055","5,880",175,"4,299","2,868",115,282,123,911,"2,527",41.2%,2.33
Incorporated,"8,263","8,105",158,"9,629","2,368",290,"2,400","4,424",147,"3,239",66.4%,2.50
 ,,,,,,,,,,, ,
County Total,"14,318","13,985",333,"13,928","5,236",405,"2,682","4,547","1,058","5,766",58.6%,2.43
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Monterey County,,,,,,,,,,, ,
Carmel-By-The-Sea   ,"3,732","3,732",0,"3,417","2,806",173,203,235,0,"2,092",38.8%,1.78
Del Rey Oaks        ,"1,635","1,635",0,741,586,25,19,111,0,700,5.5%,2.34
Gonzales            ,"8,249","8,243",6,"1,989","1,461",128,21,354,25,"1,905",4.2%,4.33
Greenfield          ,"16,465","16,436",29,"3,752","2,972",117,261,336,66,"3,461",7.8%,4.75
King City           ,"13,026","12,967",59,"3,222","1,876",275,296,522,253,"3,019",6.3%,4.30
Marina              ,"19,822","18,970",852,"7,201","3,295",678,"1,068","1,908",252,"6,842",5.0%,2.77
Monterey            ,"28,069","25,269","2,800","13,662","5,925",830,"2,618","4,240",49,"12,187",10.8%,2.07
Pacific Grove       ,"15,123","14,768",355,"8,173","4,731",499,"1,110","1,682",151,"7,003",14.3%,2.11
Salinas             ,"151,744","149,448","2,296","42,686","23,555","2,731","4,167","10,882","1,351","40,462",5.2%,3.69
Sand City           ,336,293,43,145,71,4,36,30,4,128,11.7%,2.29
Seaside             ,"32,910","31,826","1,084","10,985","6,892","1,265",877,"1,368",583,"10,084",8.2%,3.16
Soledad             ,"26,357","15,790","10,567","3,881","3,028",81,237,327,208,"3,671",5.4%,4.30
,,,,,,,,,,, ,
Balance Of County    ,"101,028","97,366","3,662","38,352","30,412","2,096","1,481","1,630","2,733","33,420",12.9%,2.91
Incorporated,"317,468","299,377","18,091","99,854","57,198","6,806","10,913","21,995","2,942","91,554",8.3%,3.27
 ,,,,,,,,,,, ,
County Total,"418,496","396,743","21,753","138,206","87,610","8,902","12,394","23,625","5,675","124,974",9.6%,3.17
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Napa County,,,,,,,,,,, ,
American Canyon     ,"19,665","19,609",56,"6,018","4,864",48,23,234,849,"5,697",5.3%,3.44
Calistoga           ,"5,168","5,113",55,"2,319","1,152",87,243,236,601,"2,016",13.1%,2.54
Napa                ,"77,279","76,036","1,243","30,176","18,717","2,018","2,953","5,123","1,365","28,190",6.6%,2.70
St Helena           ,"5,830","5,732",98,"2,775","1,776",152,169,525,153,"2,399",13.5%,2.39
Yountville          ,"3,009","1,987","1,022","1,280",632,152,99,98,299,"1,069",16.5%,1.86
,,,,,,,,,,, ,
Balance Of County    ,"26,284","23,765","2,519","12,314","10,453",370,607,367,517,"9,561",22.4%,2.49
Incorporated,"110,951","108,477","2,474","42,568","27,141","2,457","3,487","6,216","3,267","39,371",7.5%,2.76
 ,,,,,,,,,,, ,
County Total,"137,235","132,242","4,993","54,882","37,594","2,827","4,094","6,583","3,784","48,932",10.8%,2.70
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Nevada County,,,,,,,,,,, ,
Grass Valley        ,"12,862","12,403",459,"6,638","2,963",202,973,"2,061",439,"6,086",8.3%,2.04
Nevada City         ,"3,119","2,885",234,"1,535","1,204",72,137,111,11,"1,385",9.8%,2.08
Truckee             ,"16,038","15,995",43,"12,807","10,758",206,879,522,442,"6,295",50.8%,2.54
,,,,,,,,,,, ,
Balance Of County    ,"66,676","66,237",439,"31,697","28,698",329,233,202,"2,235","27,793",12.3%,2.38
Incorporated,"32,019","31,283",736,"20,980","14,925",480,"1,989","2,694",892,"13,766",34.4%,2.27
 ,,,,,,,,,,, ,
County Total,"98,695","97,520","1,175","52,677","43,623",809,"2,222","2,896","3,127","41,559",21.1%,2.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Orange County,,,,,,,,,,, ,
Aliso Viejo,"48,461","47,992",469,"19,020","6,917","5,030",666,"6,407",0,"18,347",3.5%,2.62
Anaheim             ,"342,548","338,991","3,557","105,525","44,817","8,902","11,390","35,731","4,685","99,611",5.6%,3.40
Brea                ,"40,125","40,056",69,"15,013","8,357","1,408",467,"3,777","1,004","14,494",3.5%,2.76
Buena Park          ,"81,130","80,316",814,"24,675","14,370","1,809","1,736","6,407",353,"23,735",3.8%,3.38
Costa Mesa          ,"110,468","107,667","2,801","42,128","16,619","4,293","5,710","14,576",930,"39,982",5.1%,2.69
Cypress             ,"48,087","47,585",502,"16,072","9,819","2,574",574,"2,684",421,"15,663",2.5%,3.04
Dana Point          ,"33,508","33,267",241,"15,944","8,711","1,995","2,633","2,372",233,"14,172",11.1%,2.35
Fountain Valley     ,"55,591","55,154",437,"19,165","12,613","1,885",682,"3,594",391,"18,642",2.7%,2.96
Fullerton           ,"136,012","133,026","2,986","47,956","24,250","4,859","4,035","13,932",880,"45,477",5.2%,2.93
Garden Grove        ,"171,982","170,041","1,941","47,773","27,261","4,001","4,180","10,703","1,628","46,095",3.5%,3.69
Huntington Beach    ,"191,031","190,141",890,"78,009","38,518","9,119","9,249","18,036","3,087","74,291",4.8%,2.56
Irvine              ,"219,128","204,067","15,061","82,692","31,435","16,722","4,216","29,154","1,165","77,721",6.0%,2.63
Laguna Beach        ,"22,813","22,724",89,"12,937","8,506",686,"1,529","1,927",289,"10,806",16.5%,2.10
Laguna Hills        ,"30,439","30,070",369,"10,992","6,398","1,917",571,"1,754",352,"10,419",5.2%,2.89
Laguna Niguel       ,"63,385","63,137",248,"25,363","14,429","5,107","1,406","4,373",48,"24,257",4.4%,2.60
Laguna Woods,"16,350","16,183",167,"13,079",918,"3,721","2,237","6,203",0,"11,353",13.2%,1.43
La Habra            ,"60,613","60,273",340,"19,943","10,526","1,509","1,553","5,467",888,"18,992",4.8%,3.17
Lake Forest         ,"77,876","77,361",515,"27,188","14,696","4,136","1,517","5,564","1,275","26,315",3.2%,2.94
La Palma            ,"15,642","15,622",20,"5,223","3,765",469,115,861,13,"5,077",2.8%,3.08
Los Alamitos        ,"11,513","11,270",243,"4,356","2,077",371,760,"1,050",98,"4,213",3.3%,2.68
Mission Viejo       ,"93,597","92,655",942,"34,154","24,717","4,112",910,"4,364",51,"33,112",3.1%,2.80
Newport Beach       ,"85,545","85,143",402,"44,209","20,125","7,010","5,123","10,777","1,174","38,705",12.4%,2.20
Orange              ,"137,531","131,168","6,363","45,213","26,028","4,864","4,909","8,190","1,222","43,468",3.9%,3.02
Placentia           ,"50,917","50,580",337,"16,900","10,055","1,913","1,391","2,955",586,"16,397",3.0%,3.09
Rancho Santa Margarita,"48,131","48,129",2,"17,260","9,347","3,538",622,"3,743",10,"16,672",3.4%,2.89
San Clemente        ,"63,884","63,611",273,"25,998","14,831","2,603","4,088","3,879",597,"23,913",8.0%,2.66
San Juan Capistrano ,"34,839","34,752",87,"11,966","6,346","2,362",795,"1,079","1,384","11,414",4.6%,3.05
Santa Ana           ,"327,063","322,174","4,889","76,937","35,457","5,643","7,498","24,290","4,049","73,302",4.7%,4.40
Seal Beach          ,"24,356","24,131",225,"14,558","4,745","1,518","1,120","7,020",155,"13,049",10.4%,1.85
Stanton             ,"38,463","38,113",350,"11,300","3,030","1,799","1,354","3,679","1,438","10,846",4.0%,3.51
Tustin              ,"76,066","75,546",520,"26,509","9,391","3,394","4,048","8,767",909,"25,243",4.8%,2.99
Villa Park          ,"5,840","5,795",45,"2,016","1,985",23,8,0,0,"1,975",2.0%,2.93
Westminster         ,"90,329","89,659",670,"27,669","14,907","2,056","2,468","5,093","3,145","26,207",5.3%,3.42
Yorba Linda         ,"64,958","64,768",190,"22,447","17,590","2,167",804,"1,458",428,"21,702",3.3%,2.98
,,,,,,,,,,, ,
Balance Of County    ,"121,904","121,136",768,"39,968","30,661","3,894","1,254","3,526",633,"38,331",4.1%,3.16
Incorporated,"2,918,221","2,871,167","47,054","1,010,189","503,556","123,515","90,364","259,866","32,888","955,667",5.4%,3.00
 ,,,,,,,,,,, ,
County Total,"3,040,125","2,992,303","47,822","1,050,157","534,217","127,409","91,618","263,392","33,521","993,998",5.3%,3.01
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Placer County,,,,,,,,,,, ,
Auburn              ,"13,502","13,224",278,"6,153","4,159",297,758,939,0,"5,782",6.0%,2.29
Colfax              ,"1,986","1,981",5,929,607,48,186,67,21,825,11.2%,2.40
Lincoln             ,"43,530","43,415",115,"17,565","15,692",373,374,"1,055",71,"16,601",5.5%,2.62
Loomis              ,"6,510","6,489",21,"2,473","2,114",142,97,0,120,"2,364",4.4%,2.75
Rocklin             ,"58,225","57,584",641,"22,287","16,130",734,"1,057","3,865",501,"21,066",5.5%,2.73
Roseville           ,"121,351","120,504",847,"48,304","34,530","1,387","2,827","9,171",389,"45,618",5.6%,2.64
,,,,,,,,,,, ,
Balance Of County    ,"109,255","107,431","1,824","56,019","45,888","1,130","3,065","2,783","3,153","41,439",26.0%,2.59
Incorporated,"245,104","243,197","1,907","97,711","73,232","2,981","5,299","15,097","1,102","92,256",5.6%,2.64
 ,,,,,,,,,,, ,
County Total,"354,359","350,628","3,731","153,730","119,120","4,111","8,364","17,880","4,255","133,695",13.0%,2.62
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Plumas County,,,,,,,,,,, ,
Portola             ,"2,105","2,081",24,"1,134",808,0,9,139,178,887,21.8%,2.35
,,,,,,,,,,, ,
Balance Of County    ,"17,882","17,621",261,"14,471","11,239",393,320,528,"1,991","8,074",44.2%,2.18
Incorporated,"2,105","2,081",24,"1,134",808,0,9,139,178,887,21.8%,2.35
 ,,,,,,,,,,, ,
County Total,"19,987","19,702",285,"15,605","12,047",393,329,667,"2,169","8,961",42.6%,2.20
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Riverside County,,,,,,,,,,, ,
Banning             ,"29,903","28,538","1,365","12,144","9,169",500,677,659,"1,139","10,854",10.6%,2.63
Beaumont            ,"38,317","37,843",474,"13,262","10,972",243,682,843,522,"12,157",8.3%,3.11
Blythe              ,"20,119","13,083","7,036","5,473","3,201",136,757,760,619,"4,511",17.6%,2.90
Calimesa            ,"7,935","7,884",51,"3,686","2,188",130,52,0,"1,316","3,308",10.3%,2.38
Canyon Lake         ,"10,661","10,652",9,"4,532","4,183",134,73,76,66,"3,937",13.1%,2.71
Cathedral City      ,"51,680","51,392",288,"20,991","11,690","2,845","2,285","1,699","2,472","17,055",18.8%,3.01
Coachella           ,"41,614","41,556",58,"10,015","7,021",312,998,"1,055",629,"9,116",9.0%,4.56
Corona              ,"153,987","153,476",511,"47,182","32,724","2,121","2,201","8,403","1,733","45,018",4.6%,3.41
Desert Hot Springs  ,"27,440","27,322",118,"11,419","7,212",189,"1,674","1,473",871,"9,070",20.6%,3.01
Eastvale,"54,354","54,290",64,"14,555","12,795",416,266,530,548,"13,695",5.9%,3.96
Hemet               ,"79,597","78,983",614,"35,449","17,018","1,549","2,226","4,830","9,826","30,179",14.9%,2.62
Indian Wells        ,"5,020","5,014",6,"5,148","3,375","1,140",266,367,0,"2,755",46.5%,1.82
Indio               ,"77,219","76,316",903,"29,166","18,983","1,336","2,192","3,591","3,064","23,546",19.3%,3.24
Lake Elsinore       ,"52,544","52,112",432,"16,333","12,106",812,"1,025","1,663",727,"14,861",9.0%,3.51
La Quinta           ,"37,870","37,813",57,"23,528","18,565","2,387","1,127","1,218",231,"14,845",36.9%,2.55
Menifee,"79,639","79,451",188,"30,772","25,817",942,480,964,"2,569","27,959",9.1%,2.84
Moreno Valley       ,"195,137","194,583",554,"55,635","44,918","1,127","1,505","6,721","1,364","51,596",7.3%,3.77
Murrieta            ,"104,722","104,293",429,"35,344","26,793","1,192",854,"4,845","1,660","32,849",7.1%,3.18
Norco               ,"27,106","22,894","4,212","7,320","6,967",98,39,194,22,"7,030",4.0%,3.26
Palm Desert         ,"49,378","49,070",308,"37,280","14,666","10,855","2,943","5,112","3,704","23,352",37.4%,2.10
Palm Springs        ,"45,120","44,581",539,"34,864","12,678","8,410","2,905","8,724","2,147","22,832",34.5%,1.95
Perris              ,"69,775","69,535",240,"18,123","13,830",391,627,"1,610","1,665","16,548",8.7%,4.20
Rancho Mirage       ,"17,485","17,421",64,"14,333","7,649","4,223",725,841,895,"8,885",38.0%,1.96
Riverside           ,"308,124","296,146","11,978","98,620","63,471","3,915","6,396","22,611","2,227","92,294",6.4%,3.21
San Jacinto         ,"44,688","44,460",228,"14,989","9,989",921,701,562,"2,816","13,178",12.1%,3.37
Temecula            ,"101,835","101,706",129,"34,252","27,324",998,757,"5,013",160,"32,042",6.5%,3.17
Wildomar,"32,609","32,567",42,"10,840","7,431",44,27,486,"2,852","10,035",7.4%,3.25
,,,,,,,,,,, ,
Balance Of County    ,"454,068","449,833","4,235","159,658","113,484","3,518","4,078","5,579","32,999","136,932",14.2%,3.29
Incorporated,"1,763,878","1,732,981","30,897","645,255","432,735","47,366","34,460","84,850","45,844","553,507",14.2%,3.13
 ,,,,,,,,,,, ,
County Total,"2,217,946","2,182,814","35,132","804,913","546,219","50,884","38,538","90,429","78,843","690,439",14.2%,3.16
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sacramento County,,,,,,,,,,, ,
Citrus Heights,"83,895","83,409",486,"35,030","19,269","3,091","3,312","7,536","1,822","32,703",6.6%,2.55
Elk Grove,"154,735","154,066",669,"50,869","44,275","1,535",962,"3,820",277,"48,149",5.3%,3.20
Folsom              ,"72,616","66,065","6,551","26,226","18,583",805,"1,263","4,673",902,"25,098",4.3%,2.63
Galt                ,"23,828","23,679",149,"7,678","6,431",504,134,253,356,"7,270",5.3%,3.26
Isleton             ,810,810,0,425,240,0,112,10,63,332,21.9%,2.44
Rancho Cordova,"65,653","65,328",325,"25,635","14,602","1,688","2,056","5,775","1,514","23,610",7.9%,2.77
Sacramento          ,"470,310","461,874","8,436","191,209","113,494","13,063","18,503","42,955","3,194","174,873",8.5%,2.64
,,,,,,,,,,, ,
Balance Of County    ,"560,512","553,425","7,087","219,901","141,286","14,077","18,539","39,337","6,662","203,495",7.5%,2.72
Incorporated,"871,847","855,231","16,616","337,072","216,894","20,686","26,342","65,022","8,128","312,035",7.4%,2.74
 ,,,,,,,,,,, ,
County Total,"1,432,359","1,408,656","23,703","556,973","358,180","34,763","44,881","104,359","14,790","515,530",7.4%,2.73
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Benito County,,,,,,,,,,, ,
Hollister           ,"35,314","35,062",252,"10,419","7,613",316,"1,238",891,361,"9,886",5.1%,3.55
San Juan Bautista   ,"1,873","1,868",5,745,444,76,130,70,25,682,8.5%,2.74
,,,,,,,,,,, ,
Balance Of County    ,"18,597","18,428",169,"6,728","5,803",345,36,85,459,"6,276",6.7%,2.94
Incorporated,"37,187","36,930",257,"11,164","8,057",392,"1,368",961,386,"10,568",5.3%,3.49
 ,,,,,,,,,,, ,
County Total,"55,784","55,358",426,"17,892","13,860",737,"1,404","1,046",845,"16,844",5.9%,3.29
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Bernardino County,,,,,,,,,,, ,
Adelanto            ,"31,786","30,424","1,362","9,134","7,232",203,468,773,458,"7,857",14.0%,3.87
Apple Valley        ,"69,770","69,309",461,"26,159","19,933",851,"2,501","1,435","1,439","23,638",9.6%,2.93
Barstow             ,"22,939","22,547",392,"9,560","5,451",202,"1,330","1,742",835,"8,123",15.0%,2.78
Big Bear Lake       ,"5,078","5,052",26,"9,708","8,117",84,517,495,495,"2,196",77.4%,2.30
Chino               ,"79,430","71,672","7,758","21,816","15,613","1,195",962,"3,447",599,"20,836",4.5%,3.44
Chino Hills         ,"75,392","75,237",155,"23,645","19,338",883,603,"2,195",626,"22,951",2.9%,3.28
Colton              ,"52,621","52,291",330,"16,358","9,559",564,"1,592","3,727",916,"14,993",8.3%,3.49
Fontana             ,"198,820","198,376",444,"52,171","41,684","1,232","2,083","5,631","1,541","49,435",5.2%,4.01
Grand Terrace       ,"12,133","12,020",113,"4,648","2,892",124,471,869,292,"4,404",5.2%,2.73
Hesperia            ,"90,968","90,940",28,"29,005","23,477",705,"1,502","1,818","1,503","26,465",8.8%,3.44
Highland            ,"53,571","53,399",172,"16,583","12,675",299,678,"1,976",955,"15,491",6.6%,3.45
Loma Linda          ,"23,378","22,657",721,"9,649","4,497",714,"1,235","2,546",657,"8,776",9.0%,2.58
Montclair           ,"37,089","36,693",396,"9,951","5,861",479,"1,083","1,632",896,"9,563",3.9%,3.84
Needles             ,"4,890","4,885",5,"2,895","1,941",62,263,244,385,"1,922",33.6%,2.54
Ontario             ,"165,740","164,957",783,"47,578","28,033","3,114","5,072","9,199","2,160","45,085",5.2%,3.66
Rancho Cucamonga    ,"169,104","165,908","3,196","57,287","35,472","3,644","2,732","13,908","1,531","55,229",3.6%,3.00
Redlands            ,"69,418","67,050","2,368","26,664","17,031","1,202","3,124","4,222","1,085","24,827",6.9%,2.70
Rialto              ,"100,139","99,692",447,"27,271","19,582",730,"1,660","3,553","1,746","25,259",7.4%,3.95
San Bernardino      ,"211,260","204,303","6,957","65,403","39,361","1,908","5,139","14,790","4,205","59,335",9.3%,3.44
Twentynine Palms    ,"25,353","22,006","3,347","9,471","5,623",775,"2,179",588,306,"8,150",13.9%,2.70
Upland              ,"74,417","73,735",682,"27,365","15,698","1,762","2,860","6,180",865,"25,870",5.5%,2.85
Victorville         ,"117,447","112,436","5,011","36,901","29,325",288,"1,683","3,865","1,740","32,792",11.1%,3.43
Yucaipa             ,"51,891","51,337",554,"19,657","13,498",550,730,543,"4,336","18,281",7.0%,2.81
Yucca Valley        ,"20,920","20,701",219,"9,562","7,409",299,702,396,756,"8,300",13.2%,2.49
,,,,,,,,,,, ,
Balance Of County    ,"294,862","290,840","4,022","133,002","110,547","2,929","4,079","2,247","13,200","94,257",29.1%,3.09
Incorporated,"1,763,554","1,727,627","35,927","568,441","389,302","21,869","41,169","85,774","30,327","519,778",8.6%,3.32
 ,,,,,,,,,,, ,
County Total,"2,058,416","2,018,467","39,949","701,443","499,849","24,798","45,248","88,021","43,527","614,035",12.5%,3.29
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Diego County,,,,,,,,,,, ,
Carlsbad            ,"106,752","105,837",915,"44,929","23,604","7,524","2,502","10,019","1,280","41,637",7.3%,2.54
Chula Vista         ,"246,899","245,320","1,579","79,784","43,764","8,395","4,075","19,485","4,065","75,997",4.7%,3.23
Coronado            ,"23,365","17,210","6,155","9,635","4,377","1,030",637,"3,588",3,"7,411",23.1%,2.32
Del Mar             ,"4,194","4,194",0,"2,597","1,328",517,199,553,0,"2,067",20.4%,2.03
El Cajon            ,"100,144","97,662","2,482","35,873","14,636","1,754","2,837","14,750","1,896","34,145",4.8%,2.86
Encinitas           ,"59,827","59,299",528,"25,758","14,802","4,843","1,805","3,630",678,"24,051",6.6%,2.47
Escondido           ,"145,518","143,396","2,122","48,192","24,481","2,993","3,329","13,631","3,758","45,700",5.2%,3.14
Imperial Beach      ,"26,480","25,860",620,"9,880","3,890",770,"1,194","3,708",318,"9,107",7.8%,2.84
La Mesa             ,"58,150","57,493",657,"26,466","12,484","1,595","2,434","9,721",232,"24,822",6.2%,2.32
Lemon Grove         ,"25,540","25,194",346,"8,872","5,924",795,661,"1,412",80,"8,453",4.7%,2.98
National City       ,"58,830","53,234","5,596","16,769","7,432","1,638","1,574","5,686",439,"15,519",7.5%,3.43
Oceanside           ,"168,217","167,281",936,"64,474","33,991","7,571","5,562","14,118","3,232","59,254",8.1%,2.82
Poway               ,"48,213","47,663",550,"16,737","12,599",686,395,"2,236",821,"16,159",3.5%,2.95
San Diego           ,"1,313,779","1,264,735","49,044","515,920","237,084","46,045","44,283","181,762","6,746","483,398",6.3%,2.62
San Marcos          ,"84,783","83,968",815,"28,798","15,326","2,126","1,141","6,879","3,326","27,361",5.0%,3.07
Santee              ,"54,254","53,298",956,"20,223","11,168","1,776","1,237","3,722","2,320","19,492",3.6%,2.73
Solana Beach        ,"12,954","12,954",0,"6,541","3,116","1,272",404,"1,737",12,"5,651",13.6%,2.29
Vista               ,"94,487","92,478","2,009","31,004","15,631","2,423","2,328","8,761","1,861","29,345",5.4%,3.15
,,,,,,,,,,, ,
Balance Of County    ,"492,878","466,288","26,590","174,406","119,385","10,538","8,023","21,730","14,730","160,623",7.9%,2.90
Incorporated,"2,632,386","2,557,076","75,310","992,452","485,637","93,753","76,597","305,398","31,067","929,569",6.3%,2.75
 ,,,,,,,,,,, ,
County Total,"3,125,264","3,023,364","101,900","1,166,858","605,022","104,291","84,620","327,128","45,797","1,090,192",6.6%,2.77
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Francisco County,,,,,,,,,,, ,
San Francisco       ,"816,453","790,884","25,569","377,188","65,783","59,617","80,687","170,499",602,"346,516",8.1%,2.28
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Joaquin County,,,,,,,,,,, ,
Escalon             ,"7,187","7,172",15,"2,608","2,215",13,128,84,168,"2,476",5.1%,2.90
Lathrop             ,"18,695","18,683",12,"5,399","4,797",111,42,71,378,"4,917",8.9%,3.80
Lodi                ,"62,598","61,921",677,"23,793","15,003","1,444","1,846","5,062",438,"22,089",7.2%,2.80
Manteca             ,"68,781","68,286",495,"23,459","17,994","1,134","1,068","2,468",795,"21,990",6.3%,3.11
Ripon               ,"14,436","14,346",90,"5,133","4,202",316,200,402,13,"4,864",5.2%,2.95
Stockton            ,"294,729","288,995","5,734","99,715","64,583","7,058","9,052","17,914","1,108","90,843",8.9%,3.18
Tracy               ,"83,536","83,220",316,"25,976","21,138",877,"1,592","1,902",467,"24,319",6.4%,3.42
,,,,,,,,,,, ,
