"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2021",,,,,,,,,,,,,,,,,
,,               POPULATION             ,,,                                    HOUSING UNITS ,,,,,,,,,,,,
County,City,Total,Household,Group Quarters,Total2,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,,,
Ventura ,Ojai                ,"7,436","7,256",180,"3,502","2,397",320,470,315,0,"3,153",10.0%,2.30,,,,
Ventura ,Oxnard              ,"204,675","203,241","1,434","56,334","30,792","5,812","3,781","13,334","2,615","52,637",6.6%,3.86,,,,
Ventura ,Port Hueneme        ,"23,374","22,685",689,"8,285","2,689","2,373",961,"2,253",9,"7,799",5.9%,2.91,,,,
Ventura ,San Buenaventura    ,"105,415","103,580","1,835","43,968","24,423","4,819","3,364","8,989","2,373","41,315",6.0%,2.51,,,,
Ventura ,Santa Paula         ,"30,691","30,558",133,"9,214","5,419",716,903,"1,336",840,"8,927",3.1%,3.42,,,,
Ventura ,Simi Valley         ,"124,468","123,808",660,"43,644","31,541","3,549","2,044","5,749",761,"42,052",3.6%,2.94,,,,
Ventura ,Thousand Oaks       ,"125,426","123,684","1,742","48,169","32,526","5,412","1,934","7,094","1,203","46,364",3.7%,2.67,,,,
Ventura ,Balance Of County    ,"92,242","90,074","2,168","34,884","27,932","2,279",964,"1,706","2,003","31,853",8.7%,2.83,,,,
Ventura ,Incorporated,"742,981","735,638","7,343","257,216","157,807","29,675","15,103","45,280","9,351","244,640",4.9%,3.01,,,,
Ventura ,County Total,"835,223","825,712","9,511","292,100","185,739","31,954","16,067","46,986","11,354","276,493",5.3%,2.99,,,,
Yolo ,Davis               ,"69,295","67,828","1,467","27,471","12,709","2,410","3,201","8,664",487,"26,732",2.7%,2.54,,,,
Yolo ,West Sacramento     ,"53,967","53,629",338,"20,369","12,666","1,018","1,263","3,907","1,515","19,428",4.6%,2.76,,,,
Yolo ,Winters             ,"7,618","7,612",6,"2,651","1,991",111,185,276,88,"2,530",4.6%,3.01,,,,
