"Table 2: E-5 City/County Population and Housing Estimates, 4/1/2010",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
West Hollywood      ,"34,399","34,290",109,"24,588","2,297",710,"2,360","19,176",45,"22,511",8.4%,1.52
Westlake Village    ,"8,270","8,142",128,"3,384","2,370",626,109,152,127,"3,262",3.6%,2.50
Whittier            ,"85,331","83,696","1,635","29,591","19,355","1,165","2,304","6,574",193,"28,273",4.5%,2.96
,,,,,,,,,,, ,
Balance Of County    ,"1,057,194","1,039,203","17,991","316,888","224,670","19,257","17,923","44,290","10,748","299,448",5.5%,3.47
Incorporated,"8,761,411","8,604,110","157,301","3,126,199","1,492,778","209,303","264,255","1,112,358","47,505","2,939,832",6.0%,2.93
 ,,,,,,,,,,, ,
County Total,"9,818,605","9,643,313","175,292","3,443,087","1,717,448","228,560","282,178","1,156,648","58,253","3,239,280",5.9%,2.98
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Madera County,,,,,,,,,,, ,
Chowchilla          ,"18,720","11,311","7,409","4,154","3,405",75,400,260,14,"3,673",11.6%,3.08
Madera              ,"61,416","60,825",591,"17,049","12,215",324,"2,167","1,894",449,"15,938",6.5%,3.82
,,,,,,,,,,, ,
Balance Of County    ,"70,729","70,105",624,"27,937","23,587",260,806,336,"2,948","23,706",15.1%,2.96
Incorporated,"80,136","72,136","8,000","21,203","15,620",399,"2,567","2,154",463,"19,611",7.5%,3.68
 ,,,,,,,,,,, ,
County Total,"150,865","142,241","8,624","49,140","39,207",659,"3,373","2,490","3,411","43,317",11.8%,3.28
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Marin County,,,,,,,,,,, ,
Belvedere           ,"2,068","2,068",0,"1,045",884,45,79,37,0,928,11.2%,2.23
Corte Madera        ,"9,253","9,253",0,"4,026","2,497",609,373,547,0,"3,793",5.8%,2.44
Fairfax             ,"7,441","7,419",22,"3,585","2,272",345,486,469,13,"3,379",5.7%,2.20
Larkspur            ,"11,926","11,803",123,"6,376","2,596",421,484,"2,586",289,"5,908",7.3%,2.00
Mill Valley         ,"13,903","13,827",76,"6,534","4,353",594,332,"1,241",14,"6,084",6.9%,2.27
Novato              ,"51,904","51,278",626,"21,158","12,419","3,425","1,321","3,445",548,"20,279",4.2%,2.53
Ross                ,"2,415","2,363",52,884,825,14,19,26,0,798,9.7%,2.96
San Anselmo         ,"12,336","12,283",53,"5,538","4,192",263,356,690,37,"5,243",5.3%,2.34
San Rafael          ,"57,713","55,594","2,119","24,011","11,095","2,372","2,087","8,050",407,"22,764",5.2%,2.44
Sausalito           ,"7,061","7,048",13,"4,536","1,789",824,900,938,85,"4,112",9.3%,1.71
Tiburon             ,"8,962","8,924",38,"4,025","2,633",384,370,624,14,"3,729",7.4%,2.39
,,,,,,,,,,, ,
Balance Of County    ,"67,427","61,505","5,922","29,496","22,664","1,888","1,402","2,980",562,"26,193",11.2%,2.35
Incorporated,"184,982","181,860","3,122","81,718","45,555","9,296","6,807","18,653","1,407","77,017",5.8%,2.36
 ,,,,,,,,,,, ,
County Total,"252,409","243,365","9,044","111,214","68,219","11,184","8,209","21,633","1,969","103,210",7.2%,2.36
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mariposa County,,,,,,,,,,, ,
County Total,"18,251","17,526",725,"10,188","6,943",102,515,309,"2,319","7,693",24.5%,2.28
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mendocino County,,,,,,,,,,, ,
Fort Bragg          ,"7,273","7,014",259,"3,196","2,004",145,381,354,312,"2,863",10.4%,2.45
Point Arena         ,449,449,0,225,144,11,34,11,25,192,14.7%,2.34
Ukiah               ,"16,075","15,301",774,"6,488","3,593",412,839,"1,205",439,"6,158",5.1%,2.49
Willits             ,"4,888","4,794",94,"2,073","1,120",93,303,280,277,"1,914",7.7%,2.51
,,,,,,,,,,, ,
Balance Of County    ,"59,156","58,239",917,"28,341","21,323",708,939,909,"4,462","23,818",16.0%,2.45
Incorporated,"28,685","27,558","1,127","11,982","6,861",661,"1,557","1,850","1,053","11,127",7.1%,2.48
 ,,,,,,,,,,, ,
County Total,"87,841","85,797","2,044","40,323","28,184","1,369","2,496","2,759","5,515","34,945",13.3%,2.46
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Merced County,,,,,,,,,,, ,
Atwater             ,"28,168","28,066",102,"9,771","6,293",607,"1,549",582,740,"8,838",9.5%,3.18
Dos Palos           ,"4,950","4,922",28,"1,700","1,453",0,81,120,46,"1,501",11.7%,3.28
Gustine             ,"5,520","5,520",0,"2,087","1,719",48,85,84,151,"1,879",10.0%,2.94
Livingston          ,"13,058","13,054",4,"3,320","2,806",10,187,263,54,"3,156",4.9%,4.14
Los Banos           ,"35,972","35,791",181,"11,375","9,598",142,441,798,396,"10,259",9.8%,3.49
Merced              ,"78,958","77,878","1,080","27,446","16,861","1,043","4,084","4,712",746,"24,899",9.3%,3.13
,,,,,,,,,,, ,
Balance Of County    ,"89,167","85,666","3,501","27,999","22,278",621,"1,001",738,"3,361","25,110",10.3%,3.41
Incorporated,"166,626","165,231","1,395","55,699","38,730","1,850","6,427","6,559","2,133","50,532",9.3%,3.27
,,,,,,,,,,,,
County Total,"255,793","250,897","4,896","83,698","61,008","2,471","7,428","7,297","5,494","75,642",9.6%,3.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Modoc County,,,,,,,,,,, ,
Alturas             ,"2,827","2,814",13,"1,407","1,086",25,84,131,81,"1,238",12.0%,2.27
,,,,,,,,,,, ,
Balance Of County    ,"6,859","6,515",344,"3,785","2,818",67,35,30,835,"2,826",25.3%,2.31
Incorporated,"2,827","2,814",13,"1,407","1,086",25,84,131,81,"1,238",12.0%,2.27
 ,,,,,,,,,,, ,
County Total,"9,686","9,329",357,"5,192","3,904",92,119,161,916,"4,064",21.7%,2.30
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mono County,,,,,,,,,,, ,
Mammoth Lakes       ,"8,234","8,076",158,"9,626","2,365",290,"2,400","4,424",147,"3,229",66.5%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"5,968","5,904",64,"4,286","2,854",115,282,123,912,"2,539",40.8%,2.33
Incorporated,"8,234","8,076",158,"9,626","2,365",290,"2,400","4,424",147,"3,229",66.5%,2.50
 ,,,,,,,,,,, ,
County Total,"14,202","13,980",222,"13,912","5,219",405,"2,682","4,547","1,059","5,768",58.5%,2.42
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Monterey County,,,,,,,,,,, ,
Carmel-By-The-Sea   ,"3,722","3,722",0,"3,417","2,806",173,203,235,0,"2,095",38.7%,1.78
Del Rey Oaks        ,"1,624","1,624",0,741,586,25,19,111,0,701,5.4%,2.32
Gonzales            ,"8,187","8,181",6,"1,989","1,461",128,21,354,25,"1,906",4.2%,4.29
Greenfield          ,"16,330","16,301",29,"3,752","2,972",117,261,336,66,"3,460",7.8%,4.71
King City           ,"12,874","12,815",59,"3,218","1,876",275,292,522,253,"3,008",6.5%,4.26
Marina              ,"19,718","18,827",891,"7,200","3,294",678,"1,068","1,908",252,"6,845",4.9%,2.75
Monterey            ,"27,810","25,307","2,503","13,584","5,861",830,"2,618","4,226",49,"12,184",10.3%,2.08
Pacific Grove       ,"15,041","14,686",355,"8,169","4,727",499,"1,110","1,682",151,"7,020",14.1%,2.09
Salinas             ,"150,441","147,976","2,465","42,651","23,540","2,731","4,165","10,864","1,351","40,387",5.3%,3.66
Sand City           ,334,291,43,145,71,4,36,30,4,128,11.7%,2.27
Seaside             ,"33,025","31,898","1,127","10,872","6,779","1,265",877,"1,368",583,"10,093",7.2%,3.16
Soledad             ,"25,738","15,635","10,103","3,876","3,023",81,237,327,208,"3,664",5.5%,4.27
,,,,,,,,,,, ,
Balance Of County    ,"100,213","96,551","3,662","38,296","30,359","2,096","1,481","1,630","2,730","33,408",12.8%,2.89
Incorporated,"314,844","297,263","17,581","99,614","56,996","6,806","10,907","21,963","2,942","91,491",8.2%,3.25
 ,,,,,,,,,,, ,
County Total,"415,057","393,814","21,243","137,910","87,355","8,902","12,388","23,593","5,672","124,899",9.4%,3.15
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Napa County,,,,,,,,,,, ,
American Canyon     ,"19,454","19,398",56,"5,982","4,828",48,23,234,849,"5,657",5.4%,3.43
Calistoga           ,"5,155","5,100",55,"2,319","1,152",87,243,236,601,"2,019",12.9%,2.53
Napa                ,"76,915","75,678","1,237","30,149","18,694","2,018","2,949","5,123","1,365","28,166",6.6%,2.69
St Helena           ,"5,814","5,716",98,"2,776","1,777",152,169,525,153,"2,401",13.5%,2.38
Yountville          ,"2,933","1,945",988,"1,252",633,152,95,73,299,"1,050",16.1%,1.85
,,,,,,,,,,, ,
Balance Of County    ,"26,213","23,729","2,484","12,281","10,425",370,605,367,514,"9,583",22.0%,2.48
Incorporated,"110,271","107,837","2,434","42,478","27,084","2,457","3,479","6,191","3,267","39,293",7.5%,2.74
 ,,,,,,,,,,, ,
County Total,"136,484","131,566","4,918","54,759","37,509","2,827","4,084","6,558","3,781","48,876",10.7%,2.69
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Nevada County,,,,,,,,,,, ,
Grass Valley        ,"12,860","12,401",459,"6,637","2,962",202,973,"2,061",439,"6,077",8.4%,2.04
Nevada City         ,"3,068","2,829",239,"1,510","1,204",72,137,86,11,"1,356",10.2%,2.09
Truckee             ,"16,180","16,137",43,"12,803","10,758",203,879,522,441,"6,343",50.5%,2.54
,,,,,,,,,,, ,
Balance Of County    ,"66,656","66,222",434,"31,640","28,653",329,233,202,"2,223","27,751",12.3%,2.39
Incorporated,"32,108","31,367",741,"20,950","14,924",477,"1,989","2,669",891,"13,776",34.2%,2.28
 ,,,,,,,,,,, ,
County Total,"98,764","97,589","1,175","52,590","43,577",806,"2,222","2,871","3,114","41,527",21.0%,2.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Orange County,,,,,,,,,,, ,
Aliso Viejo,"47,816","47,347",469,"18,861","6,850","4,938",666,"6,407",0,"18,198",3.5%,2.60
Anaheim             ,"336,265","332,708","3,557","104,237","44,818","8,903","11,382","34,449","4,685","98,294",5.7%,3.39
Brea                ,"39,182","39,113",69,"14,747","8,351","1,408",467,"3,517","1,004","14,230",3.5%,2.75
Buena Park          ,"80,520","79,706",814,"24,619","14,324","1,808","1,736","6,398",353,"23,682",3.8%,3.37
Costa Mesa          ,"109,960","106,990","2,970","42,120","16,611","4,293","5,710","14,576",930,"39,946",5.2%,2.68
Cypress             ,"47,802","47,300",502,"16,068","9,817","2,572",574,"2,684",421,"15,654",2.6%,3.02
Dana Point          ,"33,351","33,110",241,"15,938","8,706","1,995","2,633","2,372",232,"14,182",11.0%,2.34
Fountain Valley     ,"55,313","54,876",437,"19,164","12,612","1,885",682,"3,594",391,"18,648",2.7%,2.94
Fullerton           ,"135,222","132,145","3,077","47,900","24,243","4,859","4,039","13,879",880,"45,420",5.2%,2.91
Garden Grove        ,"170,794","168,853","1,941","47,741","27,266","4,003","4,174","10,670","1,628","46,021",3.6%,3.67
Huntington Beach    ,"189,992","189,102",890,"78,003","38,512","9,119","9,249","18,036","3,087","74,285",4.8%,2.55
Irvine              ,"212,375","199,037","13,338","81,110","31,001","16,722","4,021","28,201","1,165","76,216",6.0%,2.61
Laguna Beach        ,"22,723","22,634",89,"12,923","8,492",686,"1,529","1,927",289,"10,821",16.3%,2.09
Laguna Hills        ,"30,270","29,901",369,"10,989","6,395","1,917",571,"1,754",352,"10,417",5.2%,2.87
Laguna Niguel       ,"62,979","62,731",248,"25,312","14,378","5,107","1,406","4,373",48,"24,232",4.3%,2.59
Laguna Woods,"16,273","16,106",167,"13,079",918,"3,721","2,237","6,203",0,"11,360",13.1%,1.42
La Habra            ,"60,223","59,883",340,"19,918","10,500","1,509","1,553","5,467",889,"18,971",4.8%,3.16
Lake Forest         ,"77,395","76,880",515,"27,161","14,669","4,136","1,517","5,564","1,275","26,293",3.2%,2.92
La Palma            ,"15,568","15,548",20,"5,224","3,766",469,115,861,13,"5,080",2.8%,3.06
Los Alamitos        ,"11,449","11,206",243,"4,355","2,076",371,760,"1,050",98,"4,212",3.3%,2.66
Mission Viejo       ,"93,174","92,232",942,"34,155","24,718","4,112",910,"4,364",51,"33,139",3.0%,2.78
Newport Beach       ,"85,186","84,784",402,"44,193","20,107","7,010","5,125","10,777","1,174","38,751",12.3%,2.19
Orange              ,"136,386","130,133","6,253","45,102","25,990","4,848","4,909","8,133","1,222","43,358",3.9%,3.00
Placentia           ,"50,598","50,261",337,"16,889","10,044","1,913","1,391","2,955",586,"16,382",3.0%,3.07
Rancho Santa Margarita,"47,853","47,851",2,"17,260","9,347","3,538",622,"3,743",10,"16,665",3.4%,2.87
San Clemente        ,"63,522","63,249",273,"25,966","14,816","2,586","4,088","3,879",597,"23,906",7.9%,2.65
San Juan Capistrano ,"34,593","34,506",87,"11,940","6,338","2,344",795,"1,079","1,384","11,394",4.6%,3.03
Santa Ana           ,"324,647","319,989","4,658","76,919","35,444","5,637","7,500","24,289","4,049","73,199",4.8%,4.37
Seal Beach          ,"24,168","23,943",225,"14,558","4,745","1,518","1,120","7,020",155,"13,017",10.6%,1.84
Stanton             ,"38,186","37,836",350,"11,283","3,025","1,787","1,354","3,679","1,438","10,825",4.1%,3.50
Tustin              ,"75,540","75,020",520,"26,476","9,358","3,394","4,048","8,767",909,"25,203",4.8%,2.98
Villa Park          ,"5,812","5,767",45,"2,016","1,985",23,8,0,0,"1,976",2.0%,2.92
Westminster         ,"89,701","89,031",670,"27,650","14,904","2,051","2,457","5,093","3,145","26,164",5.4%,3.40
Yorba Linda         ,"64,234","64,044",190,"22,305","17,523","2,152",744,"1,458",428,"21,576",3.3%,2.97
,,,,,,,,,,, ,
Balance Of County    ,"121,160","120,392",768,"39,937","30,641","3,891","1,244","3,526",635,"38,302",4.1%,3.14
Incorporated,"2,889,072","2,843,822","45,250","1,006,181","502,649","123,334","90,092","257,218","32,888","951,717",5.4%,2.99
 ,,,,,,,,,,, ,
County Total,"3,010,232","2,964,214","46,018","1,046,118","533,290","127,225","91,336","260,744","33,523","990,019",5.4%,2.99
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Placer County,,,,,,,,,,, ,
Auburn              ,"13,330","13,052",278,"6,139","4,145",297,758,939,0,"5,759",6.2%,2.27
Colfax              ,"1,963","1,958",5,929,607,48,186,67,21,823,11.4%,2.38
Lincoln             ,"42,819","42,704",115,"17,457","15,592",373,366,"1,055",71,"16,479",5.6%,2.59
Loomis              ,"6,430","6,409",21,"2,465","2,106",142,97,0,120,"2,356",4.4%,2.72
Rocklin             ,"56,974","56,337",637,"22,010","16,030",713,"1,057","3,709",501,"20,800",5.5%,2.71
Roseville           ,"118,788","117,941",847,"47,757","34,032","1,387","2,827","9,122",389,"45,059",5.6%,2.62
,,,,,,,,,,, ,
Balance Of County    ,"108,128","106,224","1,904","55,891","45,758","1,130","3,067","2,783","3,153","41,351",26.0%,2.57
Incorporated,"240,304","238,401","1,903","96,757","72,512","2,960","5,291","14,892","1,102","91,276",5.7%,2.61
 ,,,,,,,,,,, ,
County Total,"348,432","344,625","3,807","152,648","118,270","4,090","8,358","17,675","4,255","132,627",13.1%,2.60
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Plumas County,,,,,,,,,,, ,
Portola             ,"2,104","2,080",24,"1,134",808,0,9,139,178,887,21.8%,2.35
,,,,,,,,,,, ,
Balance Of County    ,"17,903","17,650",253,"14,432","11,201",393,320,528,"1,990","8,090",43.9%,2.18
Incorporated,"2,104","2,080",24,"1,134",808,0,9,139,178,887,21.8%,2.34
 ,,,,,,,,,,, ,
County Total,"20,007","19,730",277,"15,566","12,009",393,329,667,"2,168","8,977",42.3%,2.20
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Riverside County,,,,,,,,,,, ,
Banning             ,"29,603","28,238","1,365","12,144","9,169",500,677,659,"1,139","10,838",10.8%,2.61
Beaumont            ,"36,877","36,403",474,"12,908","10,615",243,685,843,522,"11,801",8.6%,3.09
Blythe              ,"20,817","12,972","7,845","5,473","3,200",136,757,760,620,"4,513",17.5%,2.87
Calimesa            ,"7,879","7,828",51,"3,687","2,189",130,52,0,"1,316","3,314",10.1%,2.36
Canyon Lake         ,"10,561","10,552",9,"4,532","4,183",134,73,76,66,"3,935",13.2%,2.68
Cathedral City      ,"51,200","50,905",295,"20,995","11,691","2,845","2,290","1,699","2,470","17,047",18.8%,2.99
Coachella           ,"40,704","40,646",58,"9,903","6,909",312,998,"1,055",629,"8,998",9.1%,4.52
Corona              ,"152,374","151,863",511,"47,174","32,720","2,117","2,201","8,403","1,733","44,950",4.7%,3.38
Desert Hot Springs  ,"25,938","25,820",118,"10,902","7,135",189,"1,574","1,418",586,"8,650",20.7%,2.99
Hemet               ,"78,657","78,043",614,"35,305","16,940","1,549","2,226","4,765","9,825","30,092",14.8%,2.59
Indian Wells        ,"4,958","4,952",6,"5,137","3,364","1,140",266,367,0,"2,745",46.6%,1.80
Indio               ,"76,036","75,087",949,"28,971","18,788","1,336","2,192","3,591","3,064","23,378",19.3%,3.21
Lake Elsinore       ,"51,821","51,389",432,"16,253","12,026",812,"1,025","1,663",727,"14,788",9.0%,3.48
La Quinta           ,"37,467","37,410",57,"23,489","18,532","2,387","1,127","1,212",231,"14,820",36.9%,2.52
Menifee,"77,519","77,331",188,"30,269","25,562",942,480,716,"2,569","27,461",9.3%,2.82
Moreno Valley       ,"193,365","192,811",554,"55,559","44,842","1,127","1,505","6,721","1,364","51,592",7.1%,3.74
Murrieta            ,"103,466","103,037",429,"35,294","26,788","1,192",809,"4,845","1,660","32,749",7.2%,3.15
Norco               ,"27,063","22,666","4,397","7,322","6,969",98,39,194,22,"7,023",4.1%,3.23
Palm Desert         ,"48,445","48,137",308,"37,073","14,666","10,821","2,943","4,939","3,704","23,117",37.6%,2.08
Palm Springs        ,"44,552","44,013",539,"34,794","12,665","8,410","2,905","8,667","2,147","22,746",34.6%,1.94
Perris              ,"68,386","68,146",240,"17,906","13,613",391,627,"1,610","1,665","16,365",8.6%,4.16
Rancho Mirage       ,"17,218","17,154",64,"14,243","7,642","4,223",702,781,895,"8,829",38.0%,1.94
Riverside           ,"303,871","292,322","11,549","98,444","63,436","3,915","6,396","22,470","2,227","91,932",6.6%,3.18
San Jacinto         ,"44,199","43,971",228,"14,977","9,977",921,701,562,"2,816","13,152",12.2%,3.34
Temecula            ,"100,097","99,968",129,"34,004","27,138",936,757,"5,013",160,"31,781",6.5%,3.15
Wildomar,"32,176","32,134",42,"10,806","7,397",44,27,486,"2,852","9,992",7.5%,3.22
,,,,,,,,,,, ,
Balance Of County    ,"504,392","500,014","4,378","173,143","125,053","3,934","4,375","6,062","33,719","149,652",13.6%,3.34
Incorporated,"1,685,249","1,653,798","31,451","627,564","418,156","46,850","34,034","83,515","45,009","536,608",14.5%,3.08
 ,,,,,,,,,,, ,
County Total,"2,189,641","2,153,812","35,829","800,707","543,209","50,784","38,409","89,577","78,728","686,260",14.3%,3.14
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sacramento County,,,,,,,,,,, ,
Citrus Heights,"83,301","82,815",486,"35,075","19,251","3,090","3,368","7,544","1,822","32,686",6.8%,2.53
Elk Grove,"153,015","152,346",669,"50,634","44,040","1,535",962,"3,820",277,"47,927",5.3%,3.18
Folsom              ,"72,203","65,243","6,960","26,109","18,516",805,"1,251","4,636",901,"24,951",4.4%,2.62
Galt                ,"23,647","23,498",149,"7,678","6,431",504,134,253,356,"7,262",5.4%,3.24
Isleton             ,804,804,0,425,240,0,112,10,63,331,22.1%,2.43
Rancho Cordova,"64,776","64,451",325,"25,479","14,420","1,688","2,068","5,789","1,514","23,448",8.0%,2.75
Sacramento          ,"466,488","458,174","8,314","190,911","113,198","13,063","18,501","42,955","3,194","174,624",8.5%,2.62
,,,,,,,,,,, ,
Balance Of County    ,"554,554","547,670","6,884","219,621","141,152","14,064","18,533","39,219","6,653","202,716",7.7%,2.70
Incorporated,"864,234","847,331","16,903","336,311","216,096","20,685","26,396","65,007","8,127","311,229",7.5%,2.72
 ,,,,,,,,,,, ,
County Total,"1,418,788","1,395,001","23,787","555,932","357,248","34,749","44,929","104,226","14,780","513,945",7.6%,2.71
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Benito County,,,,,,,,,,, ,
Hollister           ,"34,928","34,813",115,"10,401","7,595",316,"1,238",891,361,"9,860",5.2%,3.53
San Juan Bautista   ,"1,862","1,857",5,745,444,76,130,70,25,681,8.6%,2.73
,,,,,,,,,,, ,
Balance Of County    ,"18,479","18,310",169,"6,724","5,799",345,36,85,459,"6,264",6.8%,2.92
Incorporated,"36,790","36,670",120,"11,146","8,039",392,"1,368",961,386,"10,541",5.4%,3.48
 ,,,,,,,,,,, ,
County Total,"55,269","54,980",289,"17,870","13,838",737,"1,404","1,046",845,"16,805",6.0%,3.27
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Bernardino County,,,,,,,,,,, ,
Adelanto            ,"31,765","30,012","1,753","9,086","7,184",203,468,773,458,"7,809",14.1%,3.84
Apple Valley        ,"69,135","68,674",461,"26,117","19,891",851,"2,501","1,435","1,439","23,598",9.6%,2.91
Barstow             ,"22,639","22,271",368,"9,555","5,446",202,"1,330","1,742",835,"8,085",15.4%,2.76
Big Bear Lake       ,"5,019","4,993",26,"9,705","8,114",84,517,495,495,"2,187",77.5%,2.28
Chino               ,"77,983","70,919","7,064","21,797","15,594","1,195",962,"3,447",599,"20,772",4.7%,3.41
Chino Hills         ,"74,799","74,644",155,"23,617","19,315",883,603,"2,190",626,"22,941",2.9%,3.25
Colton              ,"52,154","51,824",330,"16,350","9,551",564,"1,592","3,727",916,"14,971",8.4%,3.46
Fontana             ,"196,069","195,625",444,"51,857","41,583","1,232","1,987","5,516","1,539","49,116",5.3%,3.98
Grand Terrace       ,"12,040","11,927",113,"4,649","2,893",124,471,869,292,"4,403",5.3%,2.71
Hesperia            ,"90,173","90,145",28,"29,004","23,476",705,"1,502","1,818","1,503","26,431",8.9%,3.41
Highland            ,"53,104","52,932",172,"16,578","12,670",299,678,"1,976",955,"15,471",6.7%,3.42
Loma Linda          ,"23,261","22,457",804,"9,649","4,497",714,"1,235","2,546",657,"8,764",9.2%,2.56
Montclair           ,"36,664","36,268",396,"9,911","5,826",479,"1,083","1,632",891,"9,523",3.9%,3.81
Needles             ,"4,844","4,839",5,"2,895","1,941",62,263,244,385,"1,918",33.7%,2.52
Ontario             ,"163,924","163,166",758,"47,449","28,007","3,114","5,078","9,087","2,163","44,931",5.3%,3.63
Rancho Cucamonga    ,"165,269","162,145","3,124","56,618","35,328","3,504","2,731","13,524","1,531","54,383",3.9%,2.98
Redlands            ,"68,747","66,379","2,368","26,634","17,019","1,184","3,124","4,222","1,085","24,764",7.0%,2.68
Rialto              ,"99,171","98,724",447,"27,203","19,514",730,"1,660","3,553","1,746","25,202",7.4%,3.92
San Bernardino      ,"209,924","202,599","7,325","65,401","39,359","1,908","5,139","14,790","4,205","59,283",9.4%,3.42
Twentynine Palms    ,"25,048","21,701","3,347","9,431","5,583",775,"2,179",588,306,"8,095",14.2%,2.68
Upland              ,"73,732","73,050",682,"27,355","15,688","1,762","2,860","6,180",865,"25,823",5.6%,2.83
Victorville         ,"115,903","110,800","5,103","36,655","29,118",288,"1,647","3,865","1,737","32,558",11.2%,3.40
Yucaipa             ,"51,367","50,813",554,"19,642","13,501",550,730,543,"4,318","18,231",7.2%,2.79
Yucca Valley        ,"20,700","20,481",219,"9,558","7,403",299,704,396,756,"8,274",13.4%,2.48
,,,,,,,,,,, ,
Balance Of County    ,"291,776","287,768","4,008","132,921","110,464","2,929","4,079","2,247","13,202","94,085",29.2%,3.06
Incorporated,"1,743,434","1,707,388","36,046","566,716","388,501","21,711","41,044","85,158","30,302","517,533",8.7%,3.30
 ,,,,,,,,,,, ,
County Total,"2,035,210","1,995,156","40,054","699,637","498,965","24,640","45,123","87,405","43,504","611,618",12.6%,3.26
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Diego County,,,,,,,,,,, ,
Carlsbad            ,"105,328","104,413",915,"44,673","23,409","7,519","2,446","10,019","1,280","41,345",7.4%,2.53
Chula Vista         ,"243,916","242,180","1,736","79,416","43,543","8,395","4,048","19,365","4,065","75,515",4.9%,3.21
Coronado            ,"24,697","17,094","7,603","9,634","4,372","1,030",641,"3,588",3,"7,409",23.1%,2.31
Del Mar             ,"4,161","4,161",0,"2,596","1,327",517,199,553,0,"2,064",20.5%,2.02
El Cajon            ,"99,478","96,996","2,482","35,850","14,613","1,754","2,837","14,750","1,896","34,134",4.8%,2.84
Encinitas           ,"59,518","58,990",528,"25,740","14,799","4,830","1,803","3,630",678,"24,082",6.4%,2.45
Escondido           ,"143,911","141,792","2,119","48,044","24,394","2,993","3,329","13,570","3,758","45,484",5.3%,3.12
Imperial Beach      ,"26,324","25,705",619,"9,882","3,892",770,"1,194","3,708",318,"9,112",7.8%,2.82
La Mesa             ,"57,065","56,408",657,"26,167","12,482","1,593","2,436","9,424",232,"24,512",6.3%,2.30
Lemon Grove         ,"25,320","24,974",346,"8,868","5,922",793,661,"1,412",80,"8,434",4.9%,2.96
National City       ,"58,582","52,830","5,752","16,762","7,425","1,638","1,574","5,686",439,"15,502",7.5%,3.41
Oceanside           ,"167,086","166,150",936,"64,435","33,960","7,571","5,554","14,118","3,232","59,238",8.1%,2.81
Poway               ,"47,811","47,261",550,"16,715","12,577",686,395,"2,236",821,"16,128",3.5%,2.93
San Diego           ,"1,301,617","1,253,614","48,003","515,275","236,706","46,032","44,371","181,420","6,746","482,340",6.4%,2.60
San Marcos          ,"83,781","82,937",844,"28,641","15,272","2,126","1,141","6,776","3,326","27,202",5.0%,3.05
Santee              ,"53,413","52,447",966,"20,048","11,134","1,683","1,237","3,674","2,320","19,306",3.7%,2.72
Solana Beach        ,"12,867","12,867",0,"6,540","3,115","1,272",404,"1,737",12,"5,650",13.6%,2.28
Vista               ,"93,834","91,789","2,045","30,986","15,613","2,423","2,328","8,761","1,861","29,317",5.4%,3.13
,,,,,,,,,,, ,
Balance Of County    ,"486,604","458,907","27,697","173,756","118,886","10,538","8,023","21,610","14,699","159,339",8.3%,2.88
Incorporated,"2,608,709","2,532,608","76,101","990,272","484,555","93,625","76,598","304,427","31,067","926,774",6.4%,2.73
 ,,,,,,,,,,, ,
County Total,"3,095,313","2,991,515","103,798","1,164,028","603,441","104,163","84,621","326,037","45,766","1,086,113",6.7%,2.75
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Francisco County,,,,,,,,,,, ,
San Francisco       ,"805,235","779,453","25,782","376,162","65,764","59,617","80,668","169,511",602,"345,168",8.2%,2.26
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Joaquin County,,,,,,,,,,, ,
Escalon             ,"7,132","7,117",15,"2,610","2,217",13,128,84,168,"2,476",5.1%,2.87
Lathrop             ,"18,023","18,011",12,"5,261","4,659",111,42,71,378,"4,782",9.1%,3.77
Lodi                ,"62,134","61,457",677,"23,792","15,002","1,444","1,846","5,062",438,"22,097",7.1%,2.78
Manteca             ,"67,096","66,601",495,"23,132","17,667","1,134","1,068","2,468",795,"21,618",6.5%,3.08
Ripon               ,"14,297","14,207",90,"5,129","4,198",316,200,402,13,"4,855",5.3%,2.93
Stockton            ,"291,707","285,973","5,734","99,637","64,487","7,058","9,070","17,914","1,108","90,605",9.1%,3.16
Tracy               ,"82,922","82,606",316,"25,963","21,125",877,"1,592","1,902",467,"24,331",6.3%,3.40
,,,,,,,,,,, ,
Balance Of County    ,"141,995","134,980","7,015","48,231","39,763","1,328",952,982,"5,206","44,243",8.3%,3.05
