"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2013",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
West Hollywood      ,"34,964","34,855",109,"24,698","2,302",703,"2,375","19,273",45,"22,515",8.8%,1.55
Westlake Village    ,"8,370","8,242",128,"3,384","2,370",626,109,152,127,"3,249",4.0%,2.54
Whittier            ,"87,108","85,473","1,635","29,601","19,363","1,165","2,306","6,574",193,"28,409",4.0%,3.01
,,,,,,,,,,, ,
Balance Of County    ,"1,048,195","1,030,076","18,119","309,595","219,881","18,275","17,646","43,339","10,454","292,604",5.5%,3.52
Incorporated,"8,992,765","8,831,421","161,344","3,153,897","1,499,916","210,902","266,328","1,128,915","47,836","2,968,454",5.9%,2.98
 ,,,,,,,,,,, ,
County Total,"10,040,960","9,861,497","179,463","3,463,492","1,719,797","229,177","283,974","1,172,254","58,290","3,261,058",5.8%,3.02
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Madera County,,,,,,,,,,, ,
Chowchilla          ,"17,355","11,959","5,396","4,345","3,460",79,400,392,14,"3,865",11.0%,3.09
Madera              ,"62,809","62,218",591,"17,165","12,339",324,"2,167","1,886",449,"16,224",5.5%,3.84
,,,,,,,,,,, ,
Balance Of County    ,"71,462","70,819",643,"27,966","23,612",256,808,336,"2,954","23,830",14.8%,2.97
Incorporated,"80,164","74,177","5,987","21,510","15,799",403,"2,567","2,278",463,"20,089",6.6%,3.69
 ,,,,,,,,,,, ,
County Total,"151,626","144,996","6,630","49,476","39,411",659,"3,375","2,614","3,417","43,919",11.2%,3.30
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Marin County,,,,,,,,,,, ,
Belvedere           ,"2,112","2,112",0,"1,046",884,46,79,37,0,928,11.3%,2.28
Corte Madera        ,"9,487","9,487",0,"4,025","2,497",608,373,547,0,"3,808",5.4%,2.49
Fairfax             ,"7,549","7,527",22,"3,586","2,273",345,486,469,13,"3,355",6.4%,2.24
Larkspur            ,"12,153","12,030",123,"6,380","2,600",421,484,"2,586",289,"5,896",7.6%,2.04
Mill Valley         ,"14,477","14,401",76,"6,600","4,365",641,339,"1,241",14,"6,204",6.0%,2.32
Novato              ,"53,320","52,694",626,"21,318","12,516","3,427","1,321","3,506",548,"20,404",4.3%,2.58
Ross                ,"2,484","2,432",52,889,829,15,19,26,0,804,9.6%,3.03
San Anselmo         ,"12,675","12,622",53,"5,540","4,194",263,356,690,37,"5,274",4.8%,2.39
San Rafael          ,"59,321","57,150","2,171","24,011","11,102","2,367","2,088","8,047",407,"22,908",4.6%,2.50
Sausalito           ,"7,186","7,173",13,"4,537","1,789",824,901,938,85,"4,097",9.7%,1.75
Tiburon             ,"9,312","9,274",38,"4,026","2,634",384,370,624,14,"3,793",5.8%,2.45
,,,,,,,,,,, ,
Balance Of County    ,"68,036","63,013","5,023","29,581","22,718","1,897","1,406","2,993",567,"26,272",11.2%,2.40
Incorporated,"190,076","186,902","3,174","81,958","45,683","9,341","6,816","18,711","1,407","77,471",5.5%,2.41
 ,,,,,,,,,,, ,
County Total,"258,112","249,915","8,197","111,539","68,401","11,238","8,222","21,704","1,974","103,743",7.0%,2.41
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mariposa County,,,,,,,,,,, ,
County Total,"18,179","17,456",723,"10,337","7,002",140,523,309,"2,363","7,817",24.4%,2.23
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mendocino County,,,,,,,,,,, ,
Fort Bragg          ,"7,368","7,109",259,"3,213","2,014",145,386,354,314,"2,895",9.9%,2.46
Point Arena         ,448,448,0,225,144,11,34,11,25,191,15.1%,2.35
Ukiah               ,"16,048","15,366",682,"6,523","3,596",412,839,"1,237",439,"6,170",5.4%,2.49
Willits             ,"4,912","4,818",94,"2,075","1,122",93,303,280,277,"1,919",7.5%,2.51
,,,,,,,,,,, ,
Balance Of County    ,"59,701","58,809",892,"28,556","21,520",708,944,909,"4,475","23,996",16.0%,2.45
Incorporated,"28,776","27,741","1,035","12,036","6,876",661,"1,562","1,882","1,055","11,175",7.2%,2.48
 ,,,,,,,,,,, ,
County Total,"88,477","86,550","1,927","40,592","28,396","1,369","2,506","2,791","5,530","35,171",13.4%,2.46
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Merced County,,,,,,,,,,, ,
Atwater             ,"29,517","29,415",102,"9,858","6,302",607,"1,627",582,740,"9,131",7.4%,3.22
Dos Palos           ,"5,182","5,154",28,"1,699","1,452",0,81,120,46,"1,549",8.8%,3.33
Gustine             ,"5,671","5,671",0,"2,089","1,721",48,85,84,151,"1,902",9.0%,2.98
Livingston          ,"13,598","13,594",4,"3,382","2,865",11,189,263,54,"3,240",4.2%,4.20
Los Banos           ,"37,676","37,495",181,"11,499","9,608",142,475,878,396,"10,594",7.9%,3.54
Merced              ,"81,874","80,683","1,191","27,487","16,856","1,043","4,087","4,755",746,"25,427",7.5%,3.17
,,,,,,,,,,, ,
Balance Of County    ,"91,415","87,243","4,172","28,108","22,297",674,"1,007",738,"3,392","25,207",10.3%,3.46
Incorporated,"173,518","172,012","1,506","56,014","38,804","1,851","6,544","6,682","2,133","51,843",7.4%,3.32
,,,,,,,,,,, ,
County Total,"264,933","259,255","5,678","84,122","61,101","2,525","7,551","7,420","5,525","77,050",8.4%,3.36
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Modoc County,,,,,,,,,,, ,
Alturas             ,"2,796","2,778",18,"1,404","1,083",25,84,131,81,"1,223",12.9%,2.27
,,,,,,,,,,, ,
Balance Of County    ,"6,837","6,502",335,"3,835","2,848",84,35,30,838,"2,824",26.4%,2.30
Incorporated,"2,796","2,778",18,"1,404","1,083",25,84,131,81,"1,223",12.9%,2.27
 ,,,,,,,,,,, ,
County Total,"9,633","9,280",353,"5,239","3,931",109,119,161,919,"4,047",22.8%,2.29
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mono County,,,,,,,,,,, ,
Mammoth Lakes       ,"8,106","7,948",158,"9,643","2,380",290,"2,402","4,424",147,"3,244",66.4%,2.45
,,,,,,,,,,, ,
Balance Of County    ,"5,976","5,796",180,"4,329","2,895",115,282,123,914,"2,544",41.2%,2.28
Incorporated,"8,106","7,948",158,"9,643","2,380",290,"2,402","4,424",147,"3,244",66.4%,2.45
 ,,,,,,,,,,, ,
County Total,"14,082","13,744",338,"13,972","5,275",405,"2,684","4,547","1,061","5,788",58.6%,2.37
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Monterey County,,,,,,,,,,, ,
Carmel-By-The-Sea   ,"3,755","3,755",0,"3,417","2,806",173,203,235,0,"2,069",39.4%,1.82
Del Rey Oaks        ,"1,652","1,652",0,741,586,25,19,111,0,692,6.6%,2.39
Gonzales            ,"8,384","8,378",6,"1,987","1,459",128,21,354,25,"1,895",4.6%,4.42
Greenfield          ,"17,023","16,994",29,"3,790","2,969",117,261,377,66,"3,502",7.6%,4.85
King City           ,"13,569","13,510",59,"3,222","1,874",275,298,522,253,"3,078",4.5%,4.39
Marina              ,"20,265","19,290",975,"7,201","3,295",678,"1,068","1,908",252,"6,809",5.4%,2.83
Monterey            ,"28,486","25,713","2,773","13,627","5,890",830,"2,618","4,240",49,"12,116",11.1%,2.12
Pacific Grove       ,"15,359","15,004",355,"8,179","4,737",499,"1,110","1,682",151,"6,963",14.9%,2.16
Salinas             ,"157,005","154,508","2,497","42,832","23,577","2,731","4,193","10,980","1,351","40,938",4.4%,3.77
Sand City           ,341,298,43,145,72,5,36,30,2,128,11.7%,2.33
Seaside             ,"33,644","32,432","1,212","10,911","6,806","1,271",883,"1,368",583,"10,067",7.7%,3.22
Soledad             ,"25,759","16,321","9,438","3,909","3,056",81,237,327,208,"3,713",5.0%,4.40
,,,,,,,,,,, ,
Balance Of County    ,"102,628","98,966","3,662","38,490","30,500","2,096","1,481","1,670","2,743","33,243",13.6%,2.98
Incorporated,"325,242","307,855","17,387","99,961","57,127","6,813","10,947","22,134","2,940","91,970",8.0%,3.35
 ,,,,,,,,,,, ,
County Total,"427,870","406,821","21,049","138,451","87,627","8,909","12,428","23,804","5,683","125,213",9.6%,3.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Napa County,,,,,,,,,,, ,
American Canyon     ,"20,163","20,107",56,"6,061","4,907",48,23,234,849,"5,784",4.6%,3.48
Calistoga           ,"5,205","5,150",55,"2,319","1,151",89,243,235,601,"2,010",13.3%,2.56
Napa                ,"78,321","77,069","1,252","30,295","18,757","2,095","2,955","5,123","1,365","28,292",6.6%,2.72
St Helena           ,"5,874","5,776",98,"2,782","1,783",152,169,525,153,"2,394",13.9%,2.41
Yountville          ,"2,986","2,000",986,"1,276",632,152,95,98,299,"1,066",16.5%,1.88
,,,,,,,,,,, ,
Balance Of County    ,"26,636","24,074","2,562","12,351","10,485",371,609,367,519,"9,589",22.4%,2.51
Incorporated,"112,549","110,102","2,447","42,733","27,230","2,536","3,485","6,215","3,267","39,546",7.5%,2.78
 ,,,,,,,,,,, ,
County Total,"139,185","134,176","5,009","55,084","37,715","2,907","4,094","6,582","3,786","49,135",10.8%,2.73
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Nevada County,,,,,,,,,,, ,
Grass Valley        ,"12,822","12,363",459,"6,682","2,969",233,973,"2,068",439,"6,126",8.3%,2.02
Nevada City         ,"3,116","2,857",259,"1,535","1,204",72,137,111,11,"1,385",9.8%,2.06
Truckee             ,"15,989","15,946",43,"12,893","10,832",206,891,522,442,"6,338",50.8%,2.52
,,,,,,,,,,, ,
Balance Of County    ,"66,158","65,739",419,"31,769","28,766",329,233,202,"2,239","27,857",12.3%,2.36
Incorporated,"31,927","31,166",761,"21,110","15,005",511,"2,001","2,701",892,"13,849",34.4%,2.25
 ,,,,,,,,,,, ,
County Total,"98,085","96,905","1,180","52,879","43,771",840,"2,234","2,903","3,131","41,706",21.1%,2.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Orange County,,,,,,,,,,, ,
Aliso Viejo,"49,697","49,228",469,"19,251","7,002","5,176",666,"6,407",0,"18,533",3.7%,2.66
Anaheim             ,"351,666","348,109","3,557","105,846","44,903","8,902","11,390","35,966","4,685","100,734",4.8%,3.46
Brea                ,"41,770","41,701",69,"15,327","8,529","1,408",496,"3,890","1,004","14,860",3.0%,2.81
Buena Park          ,"82,449","81,635",814,"24,710","14,393","1,812","1,740","6,412",353,"23,758",3.9%,3.44
Costa Mesa          ,"112,797","110,046","2,751","42,162","16,641","4,301","5,714","14,576",930,"40,244",4.5%,2.73
Cypress             ,"49,025","48,523",502,"16,094","9,819","2,594",576,"2,684",421,"15,729",2.3%,3.09
Dana Point          ,"33,771","33,530",241,"15,960","8,724","1,995","2,633","2,372",236,"14,067",11.9%,2.38
Fountain Valley     ,"56,354","55,917",437,"19,196","12,632","1,897",682,"3,594",391,"18,613",3.0%,3.00
Fullerton           ,"139,313","135,308","4,005","48,007","24,294","4,859","4,043","13,931",880,"45,554",5.1%,2.97
Garden Grove        ,"174,654","172,713","1,941","47,688","27,275","3,975","4,187","10,623","1,628","46,107",3.3%,3.75
Huntington Beach    ,"195,112","194,222",890,"78,809","38,737","9,294","9,655","18,036","3,087","74,959",4.9%,2.59
Irvine              ,"233,033","216,865","16,168","86,376","32,604","16,722","4,734","31,151","1,165","81,339",5.8%,2.67
Laguna Beach        ,"23,075","22,986",89,"12,958","8,533",686,"1,523","1,927",289,"10,765",16.9%,2.14
Laguna Hills        ,"30,894","30,525",369,"10,993","6,399","1,917",571,"1,754",352,"10,416",5.2%,2.93
Laguna Niguel       ,"63,938","63,690",248,"25,392","14,458","5,107","1,406","4,373",48,"24,098",5.1%,2.64
Laguna Woods,"16,518","16,351",167,"13,079",918,"3,721","2,237","6,203",0,"11,297",13.6%,1.45
La Habra            ,"61,503","61,163",340,"19,957","10,556","1,509","1,553","5,447",892,"18,980",4.9%,3.22
Lake Forest         ,"79,044","78,529",515,"27,215","14,723","4,136","1,517","5,564","1,275","26,306",3.3%,2.99
La Palma            ,"15,861","15,841",20,"5,234","3,764",469,127,861,13,"5,070",3.1%,3.12
Los Alamitos        ,"11,706","11,463",243,"4,362","2,074",371,766,"1,050",101,"4,219",3.3%,2.72
Mission Viejo       ,"94,645","93,703",942,"34,234","24,718","4,191",910,"4,364",51,"32,978",3.7%,2.84
Newport Beach       ,"86,600","86,198",402,"44,224","20,149","7,010","5,114","10,777","1,174","38,589",12.7%,2.23
Orange              ,"139,732","133,243","6,489","45,206","26,047","4,864","4,883","8,190","1,222","43,484",3.8%,3.06
Placentia           ,"52,321","51,984",337,"17,066","10,096","1,913","1,391","3,080",586,"16,595",2.8%,3.13
Rancho Santa Margarita,"49,055","49,053",2,"17,268","9,355","3,538",622,"3,743",10,"16,734",3.1%,2.93
San Clemente        ,"64,498","64,225",273,"26,045","14,866","2,603","4,100","3,879",597,"23,777",8.7%,2.70
San Juan Capistrano ,"35,412","35,325",87,"12,022","6,402","2,362",795,"1,079","1,384","11,426",5.0%,3.09
Santa Ana           ,"335,683","330,453","5,230","76,991","35,492","5,659","7,501","24,290","4,049","74,042",3.8%,4.46
Seal Beach          ,"25,182","24,958",224,"14,546","4,734","1,518","1,120","7,020",154,"13,290",8.6%,1.88
Stanton             ,"39,158","38,808",350,"11,296","3,059","1,799","1,321","3,679","1,438","10,876",3.7%,3.57
Tustin              ,"78,744","78,224",520,"26,958","9,454","3,564","4,048","8,983",909,"25,740",4.5%,3.04
Villa Park          ,"5,912","5,867",45,"2,018","1,987",23,8,0,0,"1,969",2.4%,2.98
Westminster         ,"92,553","91,883",670,"27,715","14,907","2,056","2,478","5,129","3,145","26,449",4.6%,3.47
Yorba Linda         ,"66,346","66,156",190,"22,671","17,758","2,207",820,"1,458",428,"21,830",3.7%,3.03
,,,,,,,,,,, ,
Balance Of County    ,"121,192","120,424",768,"39,346","30,476","3,794",865,"3,578",633,"37,830",3.9%,3.18
Incorporated,"2,988,021","2,938,425","49,596","1,016,876","506,002","124,158","91,327","262,492","32,897","963,427",5.3%,3.05
 ,,,,,,,,,,, ,
County Total,"3,109,213","3,058,849","50,364","1,056,222","536,478","127,952","92,192","266,070","33,530","1,001,257",5.2%,3.06
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Placer County,,,,,,,,,,, ,
Auburn              ,"13,804","13,526",278,"6,167","4,172",298,758,939,0,"5,871",4.8%,2.30
Colfax              ,"2,038","2,033",5,928,606,48,186,67,21,840,9.5%,2.42
Lincoln             ,"44,824","44,709",115,"17,789","15,916",373,374,"1,055",71,"16,973",4.6%,2.63
Loomis              ,"6,575","6,554",21,"2,479","2,120",142,97,0,120,"2,370",4.4%,2.77
Rocklin             ,"59,300","58,659",641,"22,502","16,279",750,"1,091","3,880",502,"21,305",5.3%,2.75
Roseville           ,"126,068","125,221",847,"49,459","35,582","1,387","2,827","9,274",389,"47,062",4.8%,2.66
,,,,,,,,,,, ,
Balance Of County    ,"111,009","109,030","1,979","56,458","46,244","1,130","3,083","2,846","3,155","41,753",26.0%,2.61
Incorporated,"252,609","250,702","1,907","99,324","74,675","2,998","5,333","15,215","1,103","94,421",4.9%,2.66
 ,,,,,,,,,,, ,
County Total,"363,618","359,732","3,886","155,782","120,919","4,128","8,416","18,061","4,258","136,174",12.6%,2.64
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Plumas County,,,,,,,,,,, ,
Portola             ,"2,095","2,071",24,"1,127",806,0,9,139,173,882,21.7%,2.35
,,,,,,,,,,, ,
Balance Of County    ,"17,821","17,561",260,"14,549","11,308",393,320,528,"2,000","8,035",44.8%,2.19
Incorporated,"2,095","2,071",24,"1,127",806,0,9,139,173,882,21.7%,2.35
 ,,,,,,,,,,, ,
County Total,"19,916","19,632",284,"15,676","12,114",393,329,667,"2,173","8,917",43.1%,2.20
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Riverside County,,,,,,,,,,, ,
Banning             ,"30,300","28,935","1,365","12,149","9,170",500,677,659,"1,143","10,895",10.3%,2.66
Beaumont            ,"40,715","40,241",474,"13,668","11,380",243,682,843,520,"12,797",6.4%,3.15
Blythe              ,"19,540","13,159","6,381","5,472","3,201",136,757,760,618,"4,492",17.9%,2.93
Calimesa            ,"8,050","7,999",51,"3,715","2,214",130,52,0,"1,319","3,322",10.6%,2.41
Canyon Lake         ,"10,807","10,798",9,"4,532","4,183",134,73,76,66,"3,951",12.8%,2.73
Cathedral City      ,"52,625","52,330",295,"21,050","11,702","2,845","2,270","1,757","2,476","17,192",18.3%,3.04
Coachella           ,"43,473","43,415",58,"10,209","7,211",312,"1,002","1,055",629,"9,428",7.7%,4.61
Corona              ,"158,659","158,148",511,"47,620","32,820","2,142","2,201","8,724","1,733","45,922",3.6%,3.44
Desert Hot Springs  ,"28,101","27,983",118,"11,475","7,210",188,"1,671","1,535",871,"9,196",19.9%,3.04
Eastvale,"57,260","57,196",64,"15,174","13,414",416,266,530,548,"14,283",5.9%,4.00
Hemet               ,"80,556","79,942",614,"35,610","17,128","1,549","2,226","4,870","9,837","30,238",15.1%,2.64
Indian Wells        ,"5,139","5,133",6,"5,163","3,390","1,140",266,367,0,"2,792",45.9%,1.84
Indio               ,"81,707","80,763",944,"30,442","20,139","1,336","2,192","3,591","3,184","24,667",19.0%,3.27
Jurupa Valley,"97,907","97,122",785,"26,702","20,476","1,026",788,"2,449","1,963","25,311",5.2%,3.84
Lake Elsinore       ,"56,072","55,640",432,"17,059","12,704",812,"1,025","1,791",727,"15,707",7.9%,3.54
La Quinta           ,"38,236","38,179",57,"23,612","18,662","2,387","1,124","1,208",231,"14,838",37.2%,2.57
Menifee,"83,494","83,306",188,"31,518","26,463",942,481,"1,060","2,572","29,020",7.9%,2.87
Moreno Valley       ,"199,803","199,249",554,"55,835","45,022","1,127","1,505","6,817","1,364","52,301",6.3%,3.81
Murrieta            ,"108,570","108,141",429,"35,409","26,857","1,192",854,"4,845","1,661","33,719",4.8%,3.21
Norco               ,"26,868","23,344","3,524","7,319","6,966",98,39,194,22,"7,096",3.0%,3.29
Palm Desert         ,"50,010","49,702",308,"37,495","14,765","10,883","2,943","5,200","3,704","23,415",37.6%,2.12
Palm Springs        ,"45,803","45,264",539,"35,022","12,824","8,422","2,905","8,724","2,147","22,948",34.5%,1.97
Perris              ,"72,119","71,879",240,"18,225","13,927",391,627,"1,610","1,670","16,934",7.1%,4.25
Rancho Mirage       ,"17,877","17,813",64,"14,312","7,670","4,187",725,835,895,"8,994",37.2%,1.98
Riverside           ,"314,701","302,954","11,747","99,152","63,607","3,915","6,396","23,007","2,227","93,465",5.7%,3.24
San Jacinto         ,"45,708","45,480",228,"15,029","10,029",921,701,562,"2,816","13,344",11.2%,3.41
Temecula            ,"105,251","105,122",129,"34,944","27,877","1,131",757,"5,019",160,"32,785",6.2%,3.21
Wildomar,"33,689","33,647",42,"10,927","7,512",44,27,486,"2,858","10,264",6.1%,3.28
,,,,,,,,,,, ,
Balance Of County    ,"358,991","354,786","4,205","133,395","93,334","2,492","3,298","3,210","31,061","112,307",15.8%,3.16
Incorporated,"1,913,040","1,882,884","30,156","678,839","458,523","48,549","35,232","88,574","47,961","589,316",13.2%,3.20
 ,,,,,,,,,,, ,
County Total,"2,272,031","2,237,670","34,361","812,234","551,857","51,041","38,530","91,784","79,022","701,623",13.6%,3.19
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sacramento County,,,,,,,,,,, ,
Citrus Heights,"85,106","84,620",486,"35,062","19,283","3,091","3,330","7,536","1,822","33,116",5.6%,2.56
Elk Grove,"159,717","159,048",669,"51,973","44,876","1,537",962,"4,319",279,"49,613",4.5%,3.21
Folsom              ,"72,765","67,616","5,149","26,526","18,756",805,"1,269","4,791",905,"25,639",3.3%,2.64
Galt                ,"24,252","24,103",149,"7,753","6,425",504,134,334,356,"7,386",4.7%,3.26
Isleton             ,810,810,0,425,240,0,112,10,63,332,21.9%,2.44
Rancho Cordova,"68,055","67,730",325,"25,992","14,943","1,688","2,054","5,793","1,514","24,432",6.0%,2.77
Sacramento          ,"474,949","466,701","8,248","191,380","113,653","13,063","18,515","42,955","3,194","176,368",7.8%,2.65
,,,,,,,,,,, ,
Balance Of County    ,"570,848","563,683","7,165","220,695","141,686","14,074","18,558","39,689","6,688","206,878",6.3%,2.73
Incorporated,"885,654","870,628","15,026","339,111","218,176","20,688","26,376","65,738","8,133","316,886",6.6%,2.75
 ,,,,,,,,,,, ,
County Total,"1,456,502","1,434,311","22,191","559,806","359,862","34,762","44,934","105,427","14,821","523,764",6.4%,2.74
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Benito County,,,,,,,,,,, ,
Hollister           ,"36,524","36,283",241,"10,613","7,703",316,"1,238",995,361,"10,175",4.1%,3.57
San Juan Bautista   ,"1,895","1,890",5,745,444,76,130,70,25,686,7.9%,2.76
,,,,,,,,,,, ,
Balance Of County    ,"18,721","18,552",169,"6,732","5,808",345,36,85,458,"6,284",6.7%,2.95
Incorporated,"38,419","38,173",246,"11,358","8,147",392,"1,368","1,065",386,"10,861",4.4%,3.51
 ,,,,,,,,,,, ,
County Total,"57,140","56,725",415,"18,090","13,955",737,"1,404","1,150",844,"17,145",5.2%,3.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Bernardino County,,,,,,,,,,, ,
Adelanto            ,"31,904","31,531",373,"9,235","7,333",203,468,773,458,"8,134",11.9%,3.88
Apple Valley        ,"70,643","70,182",461,"26,259","20,027",856,"2,501","1,435","1,440","23,911",8.9%,2.94
Barstow             ,"23,571","23,178",393,"9,632","5,504",202,"1,330","1,742",854,"8,341",13.4%,2.78
Big Bear Lake       ,"5,068","5,042",26,"9,750","8,117",84,517,537,495,"2,189",77.5%,2.30
Chino               ,"80,232","73,429","6,803","22,160","15,814","1,195","1,025","3,527",599,"21,325",3.8%,3.44
Chino Hills         ,"75,862","75,707",155,"23,689","19,382",883,603,"2,195",626,"23,070",2.6%,3.28
Colton              ,"52,944","52,614",330,"16,383","9,583",564,"1,593","3,727",916,"15,070",8.0%,3.49
Fontana             ,"202,004","201,560",444,"52,452","41,860","1,232","2,109","5,711","1,540","50,177",4.3%,4.02
Grand Terrace       ,"12,312","12,199",113,"4,676","2,891",153,471,869,292,"4,465",4.5%,2.73
Hesperia            ,"91,714","91,686",28,"29,009","23,481",705,"1,502","1,818","1,503","26,654",8.1%,3.44
Highland            ,"53,777","53,605",172,"16,612","12,704",299,678,"1,976",955,"15,535",6.5%,3.45
Loma Linda          ,"23,653","22,934",719,"9,648","4,496",714,"1,235","2,546",657,"8,874",8.0%,2.58
Montclair           ,"37,341","36,945",396,"9,954","5,866",479,"1,081","1,632",896,"9,619",3.4%,3.84
Needles             ,"4,955","4,950",5,"2,897","1,940",62,263,244,388,"1,945",32.9%,2.55
Ontario             ,"168,037","167,250",787,"47,655","28,068","3,114","5,076","9,235","2,162","45,665",4.2%,3.66
Rancho Cucamonga    ,"170,560","167,345","3,215","57,830","35,805","3,662","2,748","14,084","1,531","55,650",3.8%,3.01
Redlands            ,"70,026","67,658","2,368","26,703","17,032","1,202","3,138","4,246","1,085","25,027",6.3%,2.70
Rialto              ,"103,172","102,725",447,"27,414","19,575",730,"1,660","3,703","1,746","26,001",5.2%,3.95
San Bernardino      ,"214,334","207,175","7,159","65,451","39,396","1,908","5,072","14,870","4,205","60,107",8.2%,3.45
Twentynine Palms    ,"26,099","22,674","3,425","9,651","5,800",775,"2,181",588,307,"8,396",13.0%,2.70
Upland              ,"75,815","75,133",682,"27,426","15,759","1,762","2,860","6,180",865,"26,334",4.0%,2.85
Victorville         ,"122,329","116,617","5,712","37,427","29,580",288,"1,716","4,103","1,740","33,977",9.2%,3.43
Yucaipa             ,"52,655","52,101",554,"19,832","13,598",550,730,588,"4,366","18,535",6.5%,2.81
Yucca Valley        ,"21,222","21,003",219,"9,583","7,430",299,702,396,756,"8,413",12.2%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"300,716","296,735","3,981","133,212","110,730","2,929","4,079","2,247","13,227","96,082",27.9%,3.09
Incorporated,"1,790,229","1,755,243","34,986","571,328","391,041","21,921","41,259","86,725","30,382","527,414",7.7%,3.33
 ,,,,,,,,,,, ,
County Total,"2,090,945","2,051,978","38,967","704,540","501,771","24,850","45,338","88,972","43,609","623,496",11.5%,3.29
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Diego County,,,,,,,,,,, ,
Carlsbad            ,"109,464","108,549",915,"45,522","24,114","7,536","2,554","10,038","1,280","42,223",7.2%,2.57
Chula Vista         ,"256,013","254,352","1,661","81,251","44,517","8,395","4,303","19,971","4,065","77,907",4.1%,3.27
Coronado            ,"23,284","17,410","5,874","9,667","4,400","1,030",646,"3,588",3,"7,413",23.3%,2.35
Del Mar             ,"4,219","4,219",0,"2,596","1,327",517,199,553,0,"2,056",20.8%,2.05
El Cajon            ,"102,635","100,153","2,482","35,898","14,661","1,754","2,837","14,750","1,896","34,621",3.6%,2.89
Encinitas           ,"60,755","60,227",528,"25,933","14,936","4,881","1,813","3,625",678,"24,153",6.9%,2.49
Escondido           ,"148,829","146,701","2,128","48,293","24,525","2,993","3,331","13,686","3,758","46,226",4.3%,3.17
Imperial Beach      ,"26,832","26,251",581,"9,876","3,896",770,"1,184","3,708",318,"9,140",7.5%,2.87
La Mesa             ,"59,155","58,498",657,"26,482","12,499","1,596","2,434","9,721",232,"24,971",5.7%,2.34
Lemon Grove         ,"25,763","25,417",346,"8,873","5,925",795,661,"1,412",80,"8,432",5.0%,3.01
National City       ,"59,648","54,126","5,522","16,769","7,451","1,619","1,574","5,686",439,"15,602",7.0%,3.47
Oceanside           ,"172,473","171,537",936,"64,744","34,127","7,605","5,581","14,198","3,233","60,077",7.2%,2.86
Poway               ,"49,175","48,625",550,"16,832","12,617",686,403,"2,305",821,"16,300",3.2%,2.98
San Diego           ,"1,348,843","1,296,654","52,189","519,181","237,816","46,092","44,421","184,106","6,746","490,021",5.6%,2.65
San Marcos          ,"87,899","86,718","1,181","29,392","15,593","2,171","1,187","7,113","3,328","27,939",4.9%,3.10
Santee              ,"55,735","54,598","1,137","20,422","11,263","1,800","1,237","3,802","2,320","19,742",3.3%,2.77
Solana Beach        ,"13,383","13,383",0,"6,543","3,118","1,272",404,"1,737",12,"5,772",11.8%,2.32
Vista               ,"97,009","94,864","2,145","31,161","15,743","2,423","2,328","8,797","1,870","29,763",4.5%,3.19
,,,,,,,,,,, ,
Balance Of County    ,"500,303","477,704","22,599","175,431","120,224","10,538","8,030","21,838","14,801","162,870",7.2%,2.93
Incorporated,"2,701,114","2,622,282","78,832","999,435","488,528","93,935","77,097","308,796","31,079","942,358",5.7%,2.78
 ,,,,,,,,,,, ,
County Total,"3,201,417","3,099,986","101,431","1,174,866","608,752","104,473","85,127","330,634","45,880","1,105,228",5.9%,2.80
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Francisco County,,,,,,,,,,, ,
San Francisco       ,"841,341","815,848","25,493","378,766","65,807","59,609","80,844","171,904",602,"349,822",7.6%,2.33
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Joaquin County,,,,,,,,,,, ,
Escalon             ,"7,185","7,170",15,"2,605","2,212",13,128,84,168,"2,465",5.4%,2.91
Lathrop             ,"19,692","19,680",12,"5,535","4,936",108,42,71,378,"5,159",6.8%,3.82
Lodi                ,"63,400","62,723",677,"23,803","15,013","1,444","1,846","5,062",438,"22,284",6.4%,2.82
Manteca             ,"72,361","71,866",495,"24,242","18,570","1,134","1,068","2,673",797,"23,050",4.9%,3.12
Ripon               ,"14,585","14,495",90,"5,176","4,244",317,200,402,13,"4,894",5.4%,2.96
Stockton            ,"300,734","295,000","5,734","100,003","64,776","7,058","9,054","18,007","1,108","92,357",7.6%,3.19
