"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2014",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
West Hollywood      ,"35,177","35,068",109,"24,720","2,303",703,"2,369","19,300",45,"22,580",8.7%,1.55
Westlake Village    ,"8,439","8,311",128,"3,384","2,370",626,109,152,127,"3,266",3.5%,2.55
Whittier            ,"87,375","85,740","1,635","29,598","19,360","1,165","2,306","6,574",193,"28,407",4.0%,3.02
,,,,,,,,,,, ,
Balance Of County    ,"1,054,845","1,036,233","18,612","310,445","220,257","18,275","17,718","43,736","10,459","293,416",5.5%,3.53
Incorporated,"9,044,107","8,881,314","162,793","3,163,801","1,500,530","211,217","267,042","1,137,171","47,841","2,976,214",5.9%,2.98
 ,,,,,,,,,,, ,
County Total,"10,098,952","9,917,547","181,405","3,474,246","1,720,787","229,492","284,760","1,180,907","58,300","3,269,630",5.9%,3.03
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Madera County,,,,,,,,,,, ,
Chowchilla          ,"18,908","11,941","6,967","4,344","3,459",79,400,392,14,"3,854",11.3%,3.10
Madera              ,"62,853","62,262",591,"17,240","12,414",324,"2,167","1,886",449,"16,213",6.0%,3.84
,,,,,,,,,,, ,
Balance Of County    ,"71,615","71,003",612,"28,000","23,647",256,810,336,"2,951","23,858",14.8%,2.98
Incorporated,"81,761","74,203","7,558","21,584","15,873",403,"2,567","2,278",463,"20,067",7.0%,3.70
 ,,,,,,,,,,, ,
County Total,"153,376","145,206","8,170","49,584","39,520",659,"3,377","2,614","3,414","43,925",11.4%,3.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Marin County,,,,,,,,,,, ,
Belvedere           ,"2,133","2,133",0,"1,044",880,48,79,37,0,927,11.2%,2.30
Corte Madera        ,"9,582","9,582",0,"4,026","2,498",608,373,547,0,"3,802",5.6%,2.52
Fairfax             ,"7,630","7,608",22,"3,583","2,273",342,486,469,13,"3,352",6.4%,2.27
Larkspur            ,"12,342","12,219",123,"6,383","2,606",421,484,"2,583",289,"5,920",7.3%,2.06
Mill Valley         ,"14,583","14,507",76,"6,610","4,367",641,347,"1,241",14,"6,178",6.5%,2.35
Novato              ,"53,988","53,362",626,"21,374","12,521","3,427","1,321","3,557",548,"20,422",4.5%,2.61
Ross                ,"2,510","2,458",52,889,829,15,19,26,0,803,9.7%,3.06
San Anselmo         ,"12,793","12,740",53,"5,542","4,196",263,356,690,37,"5,262",5.1%,2.42
San Rafael          ,"59,791","57,648","2,143","24,035","11,103","2,390","2,088","8,047",407,"22,843",5.0%,2.52
Sausalito           ,"7,321","7,308",13,"4,546","1,790",824,909,938,85,"4,126",9.2%,1.77
Tiburon             ,"9,349","9,311",38,"4,027","2,635",384,370,624,14,"3,765",6.5%,2.47
,,,,,,,,,,, ,
Balance Of County    ,"68,891","63,740","5,151","29,597","22,729","1,901","1,406","2,993",568,"26,272",11.2%,2.43
Incorporated,"192,022","188,876","3,146","82,059","45,698","9,363","6,832","18,759","1,407","77,400",5.7%,2.44
 ,,,,,,,,,,, ,
County Total,"260,913","252,616","8,297","111,656","68,427","11,264","8,238","21,752","1,975","103,672",7.2%,2.44
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mariposa County,,,,,,,,,,, ,
County Total,"18,202","17,461",741,"10,386","7,011",163,525,309,"2,378","7,849",24.4%,2.23
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mendocino County,,,,,,,,,,, ,
Fort Bragg          ,"7,337","7,078",259,"3,212","2,013",145,386,354,314,"2,894",9.9%,2.45
Point Arena         ,448,448,0,226,145,11,34,11,25,192,15.0%,2.33
Ukiah               ,"16,012","15,301",711,"6,523","3,596",412,839,"1,237",439,"6,170",5.4%,2.48
Willits             ,"4,908","4,814",94,"2,082","1,125",93,307,280,277,"1,925",7.5%,2.50
,,,,,,,,,,, ,
Balance Of County    ,"59,638","58,732",906,"28,638","21,590",708,944,909,"4,487","24,064",16.0%,2.44
Incorporated,"28,705","27,641","1,064","12,043","6,879",661,"1,566","1,882","1,055","11,181",7.2%,2.47
 ,,,,,,,,,,, ,
County Total,"88,343","86,373","1,970","40,681","28,469","1,369","2,510","2,791","5,542","35,245",13.4%,2.45
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Merced County,,,,,,,,,,, ,
Atwater             ,"29,574","29,472",102,"9,859","6,303",607,"1,627",582,740,"9,132",7.4%,3.23
Dos Palos           ,"5,185","5,157",28,"1,697","1,450",0,81,120,46,"1,547",8.8%,3.33
Gustine             ,"5,681","5,681",0,"2,089","1,721",48,85,84,151,"1,902",9.0%,2.99
Livingston          ,"13,821","13,817",4,"3,431","2,865",11,189,312,54,"3,287",4.2%,4.20
Los Banos           ,"37,748","37,567",181,"11,500","9,609",142,475,878,396,"10,595",7.9%,3.55
Merced              ,"82,235","81,034","1,201","27,556","16,859","1,043","4,099","4,809",746,"25,491",7.5%,3.18
,,,,,,,,,,, ,
Balance Of County    ,"92,570","87,579","4,991","28,166","22,273",743,"1,007",738,"3,405","25,258",10.3%,3.47
Incorporated,"174,244","172,728","1,516","56,132","38,807","1,851","6,556","6,785","2,133","51,954",7.4%,3.32
,,,,,,,,,,, ,
County Total,"266,814","260,307","6,507","84,298","61,080","2,594","7,563","7,523","5,538","77,212",8.4%,3.37
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Modoc County,,,,,,,,,,, ,
Alturas             ,"2,793","2,763",30,"1,404","1,083",25,84,131,81,"1,238",11.8%,2.23
,,,,,,,,,,, ,
Balance Of County    ,"6,830","6,509",321,"3,837","2,849",84,35,30,839,"2,877",25.0%,2.26
Incorporated,"2,793","2,763",30,"1,404","1,083",25,84,131,81,"1,238",11.8%,2.23
 ,,,,,,,,,,, ,
County Total,"9,623","9,272",351,"5,241","3,932",109,119,161,920,"4,115",21.5%,2.25
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Mono County,,,,,,,,,,, ,
Mammoth Lakes       ,"8,037","7,879",158,"9,651","2,384",290,"2,406","4,424",147,"3,246",66.4%,2.43
,,,,,,,,,,, ,
Balance Of County    ,"5,943","5,759",184,"4,341","2,905",115,282,123,916,"2,551",41.2%,2.26
Incorporated,"8,037","7,879",158,"9,651","2,384",290,"2,406","4,424",147,"3,246",66.4%,2.43
 ,,,,,,,,,,, ,
County Total,"13,980","13,638",342,"13,992","5,289",405,"2,688","4,547","1,063","5,797",58.6%,2.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Monterey County,,,,,,,,,,, ,
Carmel-By-The-Sea   ,"3,791","3,791",0,"3,417","2,806",173,203,235,0,"2,081",39.1%,1.82
Del Rey Oaks        ,"1,668","1,668",0,741,586,25,19,111,0,696,6.1%,2.40
Gonzales            ,"8,433","8,427",6,"1,987","1,459",128,21,354,25,"1,899",4.4%,4.44
Greenfield          ,"17,082","17,053",29,"3,793","2,972",117,261,377,66,"3,502",7.7%,4.87
King City           ,"13,618","13,559",59,"3,222","1,874",275,298,522,253,"3,078",4.5%,4.41
Marina              ,"20,376","19,409",967,"7,201","3,295",678,"1,068","1,908",252,"6,826",5.2%,2.84
Monterey            ,"28,437","25,813","2,624","13,631","5,894",830,"2,618","4,240",49,"12,119",11.1%,2.13
Pacific Grove       ,"15,416","15,061",355,"8,181","4,739",499,"1,110","1,682",151,"6,965",14.9%,2.16
Salinas             ,"157,965","155,488","2,477","42,948","23,588","2,731","4,197","11,081","1,351","41,049",4.4%,3.79
Sand City           ,345,302,43,146,72,6,36,30,2,129,11.6%,2.34
Seaside             ,"33,747","32,660","1,087","10,913","6,808","1,271",883,"1,368",583,"10,101",7.4%,3.23
Soledad             ,"25,180","16,419","8,761","3,927","3,074",81,237,327,208,"3,722",5.2%,4.41
,,,,,,,,,,, ,
Balance Of County    ,"103,556","99,894","3,662","38,710","30,556","2,096","1,543","1,770","2,745","33,434",13.6%,2.99
Incorporated,"326,058","309,650","16,408","100,107","57,167","6,814","10,951","22,235","2,940","92,167",7.9%,3.36
 ,,,,,,,,,,, ,
County Total,"429,614","409,544","20,070","138,817","87,723","8,910","12,494","24,005","5,685","125,601",9.5%,3.26
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Napa County,,,,,,,,,,, ,
American Canyon     ,"20,272","20,216",56,"6,071","4,917",48,23,234,849,"5,770",5.0%,3.50
Calistoga           ,"5,277","5,222",55,"2,320","1,152",89,243,235,601,"2,022",12.8%,2.58
Napa                ,"79,010","77,766","1,244","30,324","18,776","2,109","2,951","5,123","1,365","28,324",6.6%,2.75
St Helena           ,"5,993","5,895",98,"2,810","1,801",152,179,525,153,"2,424",13.7%,2.43
Yountville          ,"3,064","2,064","1,000","1,282",633,153,99,98,299,"1,091",14.9%,1.89
,,,,,,,,,,, ,
Balance Of County    ,"26,798","24,274","2,524","12,356","10,487",371,609,367,522,"9,593",22.4%,2.53
Incorporated,"113,616","111,163","2,453","42,807","27,279","2,551","3,495","6,215","3,267","39,631",7.4%,2.80
 ,,,,,,,,,,, ,
County Total,"140,414","135,437","4,977","55,163","37,766","2,922","4,104","6,582","3,789","49,224",10.8%,2.75
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Nevada County,,,,,,,,,,, ,
Grass Valley        ,"12,807","12,348",459,"6,684","2,971",233,973,"2,068",439,"6,128",8.3%,2.02
Nevada City         ,"3,057","2,853",204,"1,535","1,204",72,137,111,11,"1,385",9.8%,2.06
Truckee             ,"16,016","15,973",43,"12,936","10,875",206,891,522,442,"6,359",50.8%,2.51
,,,,,,,,,,, ,
Balance Of County    ,"66,197","65,764",433,"31,832","28,815",329,233,202,"2,253","27,911",12.3%,2.36
Incorporated,"31,880","31,174",706,"21,155","15,050",511,"2,001","2,701",892,"13,872",34.4%,2.25
 ,,,,,,,,,,, ,
County Total,"98,077","96,938","1,139","52,987","43,865",840,"2,234","2,903","3,145","41,783",21.1%,2.32
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Orange County,,,,,,,,,,, ,
Aliso Viejo,"50,030","49,561",469,"19,342","7,049","5,220",666,"6,407",0,"18,640",3.6%,2.66
Anaheim             ,"352,468","348,911","3,557","105,987","44,941","8,902","11,390","36,069","4,685","100,866",4.8%,3.46
Brea                ,"42,625","42,556",69,"15,660","8,730","1,425",496,"4,005","1,004","15,150",3.3%,2.81
Buena Park          ,"82,536","81,722",814,"24,711","14,394","1,812","1,740","6,412",353,"23,760",3.8%,3.44
Costa Mesa          ,"112,858","110,147","2,711","42,160","16,638","4,302","5,714","14,576",930,"40,241",4.6%,2.74
Cypress             ,"49,104","48,602",502,"16,128","9,834","2,609",580,"2,684",421,"15,739",2.4%,3.09
Dana Point          ,"33,960","33,719",241,"15,964","8,728","1,995","2,633","2,372",236,"14,132",11.5%,2.39
Fountain Valley     ,"56,751","56,314",437,"19,281","12,658","1,956",682,"3,594",391,"18,727",2.9%,3.01
Fullerton           ,"140,567","136,497","4,070","48,396","24,329","4,863","4,043","14,281",880,"45,908",5.1%,2.97
Garden Grove        ,"174,957","173,016","1,941","47,723","27,303","3,971","4,190","10,631","1,628","46,142",3.3%,3.75
Huntington Beach    ,"196,744","195,854",890,"79,393","38,777","9,371","9,655","18,503","3,087","75,514",4.9%,2.59
Irvine              ,"243,769","227,592","16,177","90,562","33,930","16,722","5,044","33,701","1,165","85,278",5.8%,2.67
Laguna Beach        ,"23,105","23,016",89,"12,962","8,537",686,"1,523","1,927",289,"10,768",16.9%,2.14
Laguna Hills        ,"30,936","30,567",369,"10,995","6,401","1,917",571,"1,754",352,"10,420",5.2%,2.93
Laguna Niguel       ,"64,340","64,092",248,"25,424","14,490","5,107","1,406","4,373",48,"24,226",4.7%,2.65
Laguna Woods,"16,576","16,409",167,"13,079",918,"3,721","2,237","6,203",0,"11,326",13.4%,1.45
La Habra            ,"61,859","61,519",340,"20,039","10,639","1,509","1,553","5,447",891,"19,072",4.8%,3.23
Lake Forest         ,"79,297","78,782",515,"27,257","14,765","4,136","1,517","5,564","1,275","26,365",3.3%,2.99
La Palma            ,"15,876","15,856",20,"5,234","3,764",469,127,861,13,"5,070",3.1%,3.13
Los Alamitos        ,"11,763","11,520",243,"4,380","2,092",371,766,"1,050",101,"4,236",3.3%,2.72
Mission Viejo       ,"95,233","94,291",942,"34,300","24,718","4,257",910,"4,364",51,"33,152",3.3%,2.84
Newport Beach       ,"86,703","86,301",402,"44,232","20,169","7,010","5,102","10,777","1,174","38,597",12.7%,2.24
Orange              ,"139,698","133,532","6,166","45,271","26,049","4,864","4,883","8,253","1,222","43,535",3.8%,3.07
Placentia           ,"52,311","51,974",337,"17,066","10,096","1,913","1,391","3,080",586,"16,575",2.9%,3.14
Rancho Santa Margarita,"49,067","49,065",2,"17,284","9,355","3,554",622,"3,743",10,"16,721",3.3%,2.93
San Clemente        ,"64,811","64,538",273,"26,044","14,866","2,600","4,102","3,879",597,"23,869",8.4%,2.70
San Juan Capistrano ,"35,921","35,834",87,"12,160","6,540","2,362",795,"1,079","1,384","11,579",4.8%,3.10
Santa Ana           ,"336,746","331,377","5,369","77,133","35,497","5,659","7,540","24,388","4,049","74,175",3.8%,4.47
Seal Beach          ,"25,194","24,957",237,"14,539","4,734","1,518","1,120","7,012",155,"13,285",8.6%,1.88
Stanton             ,"39,209","38,859",350,"11,299","3,061","1,800","1,321","3,679","1,438","10,879",3.7%,3.57
Tustin              ,"78,815","78,295",520,"26,957","9,453","3,564","4,048","8,983",909,"25,738",4.5%,3.04
Villa Park          ,"5,936","5,891",45,"2,020","1,988",24,8,0,0,"1,975",2.2%,2.98
Westminster         ,"92,683","92,013",670,"27,727","14,916","2,056","2,481","5,129","3,145","26,460",4.6%,3.48
Yorba Linda         ,"67,158","66,968",190,"22,878","17,909","2,256",826,"1,458",429,"22,076",3.5%,3.03
,,,,,,,,,,, ,
Balance Of County    ,"121,805","121,037",768,"39,505","30,576","3,856",862,"3,578",633,"37,985",3.8%,3.19
Incorporated,"3,009,606","2,960,147","49,459","1,023,587","508,268","124,501","91,682","266,238","32,898","970,196",5.2%,3.05
 ,,,,,,,,,,, ,
County Total,"3,131,411","3,081,184","50,227","1,063,092","538,844","128,357","92,544","269,816","33,531","1,008,181",5.2%,3.06
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Placer County,,,,,,,,,,, ,
Auburn              ,"13,948","13,670",278,"6,239","4,184",298,758,999,0,"5,899",5.4%,2.32
Colfax              ,"2,027","2,022",5,927,605,48,186,67,21,831,10.4%,2.43
Lincoln             ,"45,586","45,471",115,"18,076","16,203",373,374,"1,055",71,"17,163",5.1%,2.65
Loomis              ,"6,628","6,607",21,"2,485","2,126",142,97,0,120,"2,375",4.4%,2.78
Rocklin             ,"59,891","59,250",641,"22,617","16,354",790,"1,091","3,880",502,"21,395",5.4%,2.77
Roseville           ,"127,873","127,026",847,"50,077","36,199","1,387","2,827","9,274",390,"47,465",5.2%,2.68
,,,,,,,,,,, ,
Balance Of County    ,"112,188","110,196","1,992","56,696","46,481","1,130","3,083","2,846","3,156","41,956",26.0%,2.63
Incorporated,"255,953","254,046","1,907","100,421","75,671","3,038","5,333","15,275","1,104","95,128",5.3%,2.67
 ,,,,,,,,,,, ,
County Total,"368,141","364,242","3,899","157,117","122,152","4,168","8,416","18,121","4,260","137,084",12.8%,2.66
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Plumas County,,,,,,,,,,, ,
Portola             ,"2,053","2,029",24,"1,127",806,0,9,139,173,882,21.7%,2.30
,,,,,,,,,,, ,
Balance Of County    ,"17,836","17,578",258,"14,584","11,340",393,322,528,"2,001","8,211",43.7%,2.14
Incorporated,"2,053","2,029",24,"1,127",806,0,9,139,173,882,21.7%,2.30
 ,,,,,,,,,,, ,
County Total,"19,889","19,607",282,"15,711","12,146",393,331,667,"2,174","9,093",42.1%,2.16
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Riverside County,,,,,,,,,,, ,
Banning             ,"30,346","28,981","1,365","12,149","9,169",501,677,659,"1,143","10,827",10.9%,2.68
Beaumont            ,"41,492","41,018",474,"13,975","11,687",243,682,843,520,"12,942",7.4%,3.17
Blythe              ,"18,957","13,261","5,696","5,472","3,197",136,757,760,622,"4,492",17.9%,2.95
Calimesa            ,"8,261","8,210",51,"3,758","2,257",130,52,0,"1,319","3,383",10.0%,2.43
Canyon Lake         ,"10,873","10,864",9,"4,532","4,183",134,73,76,66,"3,944",13.0%,2.76
Cathedral City      ,"52,873","52,580",293,"21,042","11,707","2,845","2,270","1,744","2,476","17,139",18.5%,3.07
Coachella           ,"44,113","44,055",58,"10,356","7,302",312,"1,002","1,111",629,"9,492",8.3%,4.64
Corona              ,"160,505","159,994",511,"48,064","32,860","2,142","2,201","9,128","1,733","46,096",4.1%,3.47
Desert Hot Springs  ,"28,216","28,098",118,"11,485","7,220",188,"1,671","1,535",871,"9,162",20.2%,3.07
Eastvale,"59,327","59,263",64,"15,603","13,843",416,266,530,548,"14,684",5.9%,4.04
Hemet               ,"81,406","80,792",614,"35,710","17,228","1,549","2,226","4,870","9,837","30,321",15.1%,2.67
Indian Wells        ,"5,178","5,172",6,"5,191","3,418","1,140",266,367,0,"2,792",46.2%,1.85
Indio               ,"82,758","81,797",961,"30,650","20,347","1,336","2,192","3,591","3,184","24,788",19.1%,3.30
Jurupa Valley,"98,143","97,358",785,"26,704","20,477","1,026",788,"2,449","1,964","25,175",5.7%,3.87
Lake Elsinore       ,"57,165","56,733",432,"17,365","13,010",812,"1,025","1,791",727,"15,891",8.5%,3.57
La Quinta           ,"39,266","39,209",57,"23,871","18,678","2,454","1,128","1,380",231,"15,119",36.7%,2.59
Menifee,"84,562","84,374",188,"31,892","26,837",942,481,"1,060","2,572","29,163",8.6%,2.89
Moreno Valley       ,"200,394","199,840",554,"55,852","45,039","1,127","1,505","6,817","1,364","52,047",6.8%,3.84
Murrieta            ,"109,450","109,021",429,"35,417","26,865","1,192",854,"4,845","1,661","33,728",4.8%,3.23
Norco               ,"26,768","23,416","3,352","7,320","6,967",98,39,194,22,"7,062",3.5%,3.32
Palm Desert         ,"50,889","50,581",308,"37,645","14,873","10,925","2,943","5,200","3,704","23,644",37.2%,2.14
Palm Springs        ,"46,325","45,786",539,"35,160","12,943","8,441","2,905","8,724","2,147","23,032",34.5%,1.99
Perris              ,"72,799","72,559",240,"18,419","14,043",391,627,"1,685","1,673","16,961",7.9%,4.28
Rancho Mirage       ,"17,903","17,839",64,"14,322","7,681","4,187",725,835,894,"8,937",37.6%,2.00
Riverside           ,"316,400","304,506","11,894","99,254","63,662","3,915","6,392","23,058","2,227","93,211",6.1%,3.27
San Jacinto         ,"45,934","45,706",228,"15,063","10,029",955,701,562,"2,816","13,306",11.7%,3.44
Temecula            ,"106,764","106,635",129,"35,224","28,022","1,131",847,"5,064",160,"32,998",6.3%,3.23
Wildomar,"34,069","34,027",42,"11,047","7,629",44,27,486,"2,861","10,299",6.8%,3.30
,,,,,,,,,,, ,
Balance Of County    ,"364,662","360,475","4,187","134,466","94,108","2,492","3,298","3,312","31,256","113,218",15.8%,3.18
Incorporated,"1,931,136","1,901,675","29,461","682,542","461,173","48,712","35,322","89,364","47,971","590,635",13.5%,3.22
 ,,,,,,,,,,, ,
County Total,"2,295,798","2,262,150","33,648","817,008","555,281","51,204","38,620","92,676","79,227","703,853",13.8%,3.21
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Sacramento County,,,,,,,,,,, ,
Citrus Heights,"85,485","84,999",486,"35,065","19,286","3,091","3,330","7,536","1,822","32,920",6.1%,2.58
Elk Grove,"161,937","161,268",669,"52,383","45,285","1,537",962,"4,319",280,"49,785",5.0%,3.24
Folsom              ,"74,695","68,796","5,899","26,848","18,986",811,"1,269","4,877",905,"25,817",3.8%,2.67
Galt                ,"24,476","24,327",149,"7,769","6,441",504,134,334,356,"7,378",5.0%,3.30
Isleton             ,817,817,0,424,239,0,112,10,63,331,21.9%,2.47
Rancho Cordova,"68,817","68,492",325,"26,288","15,239","1,688","2,054","5,793","1,514","24,451",7.0%,2.80
Sacramento          ,"478,518","470,153","8,365","191,558","113,802","13,063","18,523","42,976","3,194","175,836",8.2%,2.67
,,,,,,,,,,, ,
Balance Of County    ,"574,132","566,891","7,241","221,125","142,053","14,074","18,558","39,749","6,691","205,905",6.9%,2.75
Incorporated,"894,745","878,852","15,893","340,335","219,278","20,694","26,384","65,845","8,134","316,518",7.0%,2.78
 ,,,,,,,,,,, ,
County Total,"1,468,877","1,445,743","23,134","561,460","361,331","34,768","44,942","105,594","14,825","522,423",7.0%,2.77
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Benito County,,,,,,,,,,, ,
Hollister           ,"36,937","36,708",229,"10,647","7,733",316,"1,242",995,361,"10,153",4.6%,3.62
San Juan Bautista   ,"1,914","1,909",5,745,444,76,130,70,25,684,8.2%,2.79
,,,,,,,,,,, ,
Balance Of County    ,"18,989","18,820",169,"6,738","5,811",345,36,85,461,"6,287",6.7%,2.99
Incorporated,"38,851","38,617",234,"11,392","8,177",392,"1,372","1,065",386,"10,837",4.9%,3.56
 ,,,,,,,,,,, ,
County Total,"57,840","57,437",403,"18,130","13,988",737,"1,408","1,150",847,"17,124",5.5%,3.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Bernardino County,,,,,,,,,,, ,
Adelanto            ,"33,282","31,871","1,411","9,281","7,379",203,468,773,458,"8,174",11.9%,3.90
Apple Valley        ,"71,016","70,555",461,"26,352","20,116",856,"2,505","1,435","1,440","23,900",9.3%,2.95
Barstow             ,"23,574","23,184",390,"9,656","5,528",202,"1,330","1,742",854,"8,291",14.1%,2.80
Big Bear Lake       ,"5,172","5,146",26,"9,760","8,127",84,517,537,495,"2,221",77.2%,2.32
Chino               ,"82,177","75,201","6,976","22,653","16,093","1,195","1,053","3,713",599,"21,714",4.1%,3.46
Chino Hills         ,"76,188","76,033",155,"23,696","19,389",883,603,"2,195",626,"23,037",2.8%,3.30
Colton              ,"53,198","52,868",330,"16,398","9,598",564,"1,593","3,727",916,"15,056",8.2%,3.51
Fontana             ,"203,171","202,727",444,"52,713","42,109","1,231","2,122","5,711","1,540","50,179",4.8%,4.04
Grand Terrace       ,"12,336","12,223",113,"4,677","2,892",153,471,869,292,"4,448",4.9%,2.75
Hesperia            ,"91,728","91,700",28,"29,013","23,485",705,"1,502","1,818","1,503","26,505",8.6%,3.46
Highland            ,"54,108","53,936",172,"16,628","12,720",299,678,"1,976",955,"15,541",6.5%,3.47
Loma Linda          ,"23,767","23,048",719,"9,697","4,495",714,"1,235","2,596",657,"8,867",8.6%,2.60
Montclair           ,"37,473","37,077",396,"9,961","5,859",479,"1,079","1,648",896,"9,598",3.6%,3.86
Needles             ,"4,975","4,970",5,"2,892","1,937",62,262,243,388,"1,942",32.8%,2.56
Ontario             ,"168,382","167,547",835,"47,741","28,154","3,114","5,076","9,235","2,162","45,484",4.7%,3.68
Rancho Cucamonga    ,"172,757","169,445","3,312","58,165","36,118","3,684","2,748","14,084","1,531","56,026",3.7%,3.02
Redlands            ,"70,185","67,817","2,368","26,703","17,034","1,202","3,136","4,246","1,085","24,942",6.6%,2.72
Rialto              ,"103,814","103,367",447,"27,428","19,589",730,"1,660","3,703","1,746","26,014",5.2%,3.97
San Bernardino      ,"214,091","207,067","7,024","65,454","39,399","1,908","5,072","14,870","4,205","59,732",8.7%,3.47
Twentynine Palms    ,"26,663","23,238","3,425","9,662","5,811",775,"2,181",588,307,"8,376",13.3%,2.77
Upland              ,"75,811","75,129",682,"27,487","15,820","1,762","2,860","6,180",865,"26,182",4.7%,2.87
Victorville         ,"123,106","117,506","5,600","37,498","29,651",288,"1,716","4,103","1,740","34,040",9.2%,3.45
Yucaipa             ,"52,876","52,322",554,"19,852","13,596",550,730,588,"4,388","18,507",6.8%,2.83
Yucca Valley        ,"21,222","21,003",219,"9,584","7,431",299,702,396,756,"8,365",12.7%,2.51
,,,,,,,,,,, ,
Balance Of County    ,"303,016","298,786","4,230","133,363","110,867","2,929","4,079","2,247","13,241","96,192",27.9%,3.11
Incorporated,"1,801,072","1,764,980","36,092","572,951","392,330","21,942","41,299","86,976","30,404","527,141",8.0%,3.35
 ,,,,,,,,,,, ,
County Total,"2,104,088","2,063,766","40,322","706,314","503,197","24,871","45,378","89,223","43,645","623,333",11.7%,3.31
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Diego County,,,,,,,,,,, ,
Carlsbad            ,"111,334","110,419",915,"45,958","24,322","7,666","2,560","10,130","1,280","42,608",7.3%,2.59
Chula Vista         ,"259,672","257,955","1,717","82,026","44,836","8,415","4,522","20,188","4,065","78,381",4.4%,3.29
Coronado            ,"23,550","17,578","5,972","9,668","4,401","1,030",646,"3,588",3,"7,425",23.2%,2.37
Del Mar             ,"4,294","4,294",0,"2,596","1,327",517,199,553,0,"2,076",20.0%,2.07
El Cajon            ,"102,740","100,258","2,482","35,893","14,656","1,754","2,837","14,750","1,896","34,381",4.2%,2.92
Encinitas           ,"61,546","61,018",528,"26,030","15,000","4,892","1,813","3,647",678,"24,275",6.7%,2.51
Escondido           ,"149,298","147,170","2,128","48,295","24,527","2,993","3,331","13,686","3,758","46,005",4.7%,3.20
Imperial Beach      ,"26,806","26,352",454,"9,911","3,902",770,"1,184","3,737",318,"9,102",8.2%,2.90
La Mesa             ,"59,509","58,852",657,"26,504","12,521","1,596","2,434","9,721",232,"24,922",6.0%,2.36
Lemon Grove         ,"26,170","25,824",346,"8,931","5,927",795,661,"1,468",80,"8,499",4.8%,3.04
National City       ,"60,037","54,502","5,535","16,797","7,451","1,619","1,576","5,712",439,"15,585",7.2%,3.50
Oceanside           ,"173,437","172,501",936,"64,912","34,286","7,601","5,593","14,198","3,234","59,934",7.7%,2.88
Poway               ,"49,513","48,963",550,"16,840","12,625",686,403,"2,305",821,"16,283",3.3%,3.01
San Diego           ,"1,363,549","1,309,732","53,817","522,214","238,381","46,126","44,537","186,424","6,746","491,023",6.0%,2.67
San Marcos          ,"91,021","89,580","1,441","30,128","15,853","2,219","1,199","7,529","3,328","28,631",5.0%,3.13
Santee              ,"56,420","55,229","1,191","20,525","11,295","1,827","1,237","3,846","2,320","19,811",3.5%,2.79
Solana Beach        ,"13,495","13,495",0,"6,545","3,120","1,272",404,"1,737",12,"5,774",11.8%,2.34
Vista               ,"97,411","95,262","2,149","31,189","15,771","2,423","2,328","8,797","1,870","29,650",4.9%,3.21
,,,,,,,,,,, ,
Balance Of County    ,"505,340","480,925","24,415","175,913","120,582","10,538","8,030","21,939","14,824","162,744",7.5%,2.96
Incorporated,"2,729,802","2,648,984","80,818","1,004,962","490,201","94,201","77,464","312,016","31,080","944,365",6.0%,2.81
 ,,,,,,,,,,, ,
County Total,"3,235,142","3,129,909","105,233","1,180,875","610,783","104,739","85,494","333,955","45,904","1,107,109",6.2%,2.83
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Francisco County,,,,,,,,,,, ,
San Francisco       ,"849,421","823,923","25,498","381,143","65,831","59,609","80,937","174,164",602,"351,048",7.9%,2.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
San Joaquin County,,,,,,,,,,, ,
Escalon             ,"7,294","7,279",15,"2,617","2,224",13,128,84,168,"2,481",5.2%,2.93
Lathrop             ,"20,024","20,012",12,"5,650","5,051",108,42,71,378,"5,200",8.0%,3.85
Lodi                ,"63,700","63,023",677,"23,809","15,018","1,444","1,846","5,062",439,"22,193",6.8%,2.84
Manteca             ,"73,393","72,898",495,"24,553","18,881","1,134","1,068","2,673",797,"23,175",5.6%,3.15
Ripon               ,"14,858","14,768",90,"5,206","4,274",317,200,402,13,"4,942",5.1%,2.99
Stockton            ,"302,532","295,596","6,936","100,025","64,841","7,058","9,036","17,982","1,108","91,728",8.3%,3.22
