county,city,end year population,end year housing units,end year pop to housing ratio,pct change of pop to housing unit ratio,pop change,housing change,multi-family change,multi-family change pct,additional people per additional housing unit,units needed to get to begin year population to housing unit ratio,pct of change
Butte,Incorporated,143255,55675,2.5730579254602604,0.08035879685244986,59787,20629,7363,0.6380415944540728,2.898201560909399,4473.976014760148,0.21687798801493763
Butte,County Total,202669,86203,2.351066668213403,-0.017398202003826232,20549,10088,3301,0.20172329503788805,2.0369746233148294,-1499.7772073358228,-0.14866942975176672
Calaveras,Angels City,4038,2018,2.0009910802775024,-0.04755304505768775,1456,789,18,0.07792207792207792,1.8453738910012674,-95.96204492641368,-0.12162489851256487
Calaveras,Balance Of County,40998,26362,1.555193080949852,-0.052376911104665955,11582,8438,17,0.02119700748129676,1.3726001422137948,-1380.7601305412027,-0.16363594815610366
Calaveras,Incorporated,4038,2018,2.0009910802775024,-0.04755304505768775,1456,789,18,0.07792207792207792,1.8453738910012674,-95.96204492641368,-0.12162489851256487
Calaveras,County Total,45036,28380,1.586892177589852,-0.050136074836601215,13038,9227,35,0.03388189738625363,1.4130269860192912,-1422.861803862741,-0.15420632966974543
Colusa,Colusa,6268,2408,2.6029900332225915,0.00025721584718966736,1334,512,84,0.20388349514563106,2.60546875,0.6193757600324261,0.0012097182813133323
Colusa,Williams,5487,1656,3.3134057971014492,0.10206444448650727,3190,892,229,1.5165562913907285,3.5762331838565022,169.01872006965618,0.18948287003324685
Colusa,Balance Of County,10493,4188,2.50549188156638,0.007017137272643899,1449,553,149,0.6367521367521367,2.6202531645569622,29.387770897832866,0.05314244285322399
Colusa,Incorporated,11755,4064,2.892470472440945,0.06402592403442314,4524,1404,313,0.5559502664298401,3.2222222222222223,260.2013552758956,0.18532860062385725
Colusa,County Total,22248,8252,2.696073679108095,0.04281313732629531,5973,1957,462,0.5796737766624843,3.052120592743996,353.29400921659,0.1805283644438375
Contra Costa,Antioch,112848,36417,3.098772551280995,0.1445952539686197,50653,13444,535,0.09793153944719019,3.7677030645641176,5265.725363775226,0.3916784709740572
Contra Costa,Brentwood,66097,21263,3.1085453604853504,0.08016094239792412,58534,18635,1064,2.883468834688347,3.141078615508452,1704.4621182070587,0.09146563553566185
Contra Costa,Clayton,11268,4120,2.7349514563106796,-0.11750438863611935,3951,1759,204,68.0,2.2461625923820354,-484.1180811808117,-0.2752234685507741
Contra Costa,Concord,129273,47397,2.7274511045002847,0.07058851301543419,17965,3706,1244,0.09053198457171967,4.847544522396114,3345.683751392533,0.9027748924426694
Contra Costa,Danville,43906,16310,2.6919681177191905,-0.014051413857783263,12600,4844,501,1.0182926829268293,2.601156069364162,-229.1785600204439,-0.047311841457564806
Contra Costa,El Cerrito,24846,11038,2.2509512592861025,0.014891706436617379,1977,727,485,0.18553940321346596,2.7193947730398897,164.37465564738295,0.22609993899227365
Contra Costa,Hercules,25864,9056,2.856007067137809,-0.04081336125361597,9035,3404,1196,1.7614138438880707,2.6542303172737953,-369.60579951274576,-0.10857984709540122
Contra Costa,Lafayette,25358,10066,2.519173455195708,-0.0005675798311985649,1992,796,436,0.27629911280101394,2.5025125628140703,-5.713258580844013,-0.007177460528698509
Contra Costa,Martinez,36827,15265,2.4125122830003276,-0.016262281584493957,5017,2294,298,0.09448319594166138,2.1870095902353968,-248.24372838729983,-0.10821435413570175
Contra Costa,Moraga,16820,5864,2.868349249658936,0.020347919109924822,833,177,232,0.270081490104773,4.706214689265536,119.3201976605992,0.6741254105118599
Contra Costa,Oakley,42895,13367,3.2090222188972843,0,42895,13367,581,0,3.2090222188972843,0,0.0
Contra Costa,Orinda,19078,7194,2.6519321656936334,0.03180271438927266,2436,719,74,0.2813688212927757,3.388038942976356,228.7887273164282,0.3182040713719447
Contra Costa,Pinole,19369,7169,2.701771516250523,0.00519517580546382,1909,673,529,0.5675965665236051,2.836552748885587,37.24421534936994,0.055340587443343144
Contra Costa,Pittsburg,74498,23550,3.1633970276008494,0.11107949878198178,26891,6829,215,0.045900939368061486,3.9377654122126224,2615.9221963156688,0.3830607989918976
Contra Costa,Pleasant Hill,34133,14403,2.369853502742484,0.024387804180742653,2550,751,105,0.0261259019656631,3.395472703062583,351.25754361523605,0.4677197651334701
Contra Costa,Richmond,110130,40125,2.7446728971962617,0.08173659959715486,24111,6223,3568,0.3036595744680851,3.8744978306283144,3279.6810588358385,0.5270257205264083
Contra Costa,San Pablo,31041,9549,3.2507068803016024,0.21678617902059735,5883,132,580,0.15528781793842034,44.56818181818182,2070.0912234676844,15.682509268694579
Contra Costa,San Ramon,83863,29472,2.8455143865363737,0.0906340867411741,48560,15941,4385,1.2647822324776463,3.0462329841289755,2671.1678044358814,0.16756588698550162
Contra Costa,Walnut Creek,71317,34295,2.0795159644263013,0.028925918174178656,10748,4326,2735,0.19611358095511258,2.484512251502543,992.0143637834535,0.2293144622707937
Contra Costa,Balance Of County,174423,64831,2.6904258765096944,0.038510971770941316,21582,5834,2101,0.2556583110245802,3.6993486458690437,2496.7048108818963,0.4279576295649462
Contra Costa,Incorporated,979431,355920,2.7518290627107214,0.08727288523655158,328540,98747,18967,0.26435580085856053,3.327088417875986,31062.165313393474,0.31456312914208506
Contra Costa,County Total,1153854,420751,2.74236781374257,0.07878550520694504,350122,104581,21068,0.26346197133781857,3.34785477285549,33149.0801013273,0.31697038755918666
Del Norte,Crescent City,6282,1913,3.2838473601672766,0.33378183875287337,1902,134,163,0.2411242603550296,14.194029850746269,638.5246575342466,4.76510938458393
Del Norte,Balance Of County,20667,9537,2.1670336583831395,-0.16953091666155579,1587,2225,297,0.592814371257485,0.7132584269662922,-1616.8163522012578,-0.7266590346971945
Del Norte,Incorporated,6282,1913,3.2838473601672766,0.33378183875287337,1902,134,163,0.2411242603550296,14.194029850746269,638.5246575342466,4.76510938458393
Del Norte,County Total,26949,11450,2.3536244541484717,-0.08794544276795589,3489,2359,460,0.39082412914188613,1.4790165324289954,-1006.9753196930947,-0.42686533263802234
El Dorado,Placerville,10888,4748,2.2931760741364786,-0.023061604911686084,2602,1218,251,0.2490079365079365,2.136288998357964,-109.4965001206856,-0.08989860436837897
El Dorado,South Lake Tahoe,23398,15853,1.4759351542294834,-0.03824219960196827,1812,1787,507,0.10503418272218769,1.0139899272523782,-606.2535902900029,-0.3392577449860117
El Dorado,Balance Of County,161076,72545,2.22035977669033,0.013013305938791127,64953,28690,2310,0.9750949767834529,2.2639595677936564,944.0502793296073,0.03290520318332545
El Dorado,Incorporated,34286,20601,1.6642881413523616,-0.019656730877204227,4414,3005,758,0.1299057412167952,1.4688851913477536,-404.9483128012853,-0.13475817397713322
El Dorado,County Total,195362,93146,2.097374014987224,0.022943216754473725,69367,31695,3068,0.37396392003900536,2.1885786401640637,2137.068867812217,0.06742605672226587
Fresno,Clovis,121834,43603,2.7941655390684126,0.04874905514226446,71511,24715,3167,0.47395989224783,2.8934250455189154,2125.6050513681585,0.08600465512313002
Fresno,Coalinga,16748,4618,3.6266782156777824,0.42337845702989424,8536,1395,203,0.2317351598173516,6.118996415770609,1955.1617145640525,1.401549616174948
Fresno,Firebaugh,8126,2160,3.762037037037037,0.055816671265982575,3697,917,258,0.8087774294670846,4.031624863685932,120.56400993452257,0.13147656481409223
Fresno,Fowler,6601,2191,3.012779552715655,0.02615591129619838,3207,1035,126,0.4131147540983607,3.0985507246376813,57.30760164997059,0.05536966342992328
Fresno,Fresno,546770,183334,2.982370973196461,0.0895321946921775,192679,53976,10225,0.20390459857216928,3.569716170149696,16414.295381695672,0.3041035901455401
Fresno,Huron,7404,1692,4.375886524822695,-0.11674300527078633,2638,730,608,1.782991202346041,3.6136986301369864,-197.5291649181704,-0.27058789714817866
Fresno,Kerman,16118,4407,3.65736328568187,0.17347118637516679,10670,2659,345,0.6307129798903108,4.012786761940579,764.48751835536,0.28750940893394505
Fresno,Kingsburg,13084,4460,2.9336322869955156,0.051572539589696854,5839,1863,338,0.5289514866979655,3.1341921631776706,230.01352657004827,0.12346405076223739
Fresno,Mendota,12448,2801,4.444127097465191,0.14540029868696766,5627,1043,274,0.46678023850085176,5.3950143815915625,407.2662366221962,0.3904757781612619
Fresno,Orange Cove,9581,2314,4.140449438202247,-0.027688889958216042,3977,998,491,1.811808118081181,3.9849699398797593,-64.07209136331187,-0.06420049234800788
Fresno,Parlier,15828,3786,4.180665610142631,-0.04252329563626827,7890,1968,574,1.1859504132231404,4.009146341463414,-160.9931972789118,-0.08180548642221128
Fresno,Reedley,26087,7277,3.5848563968668405,0.08129130633124959,10296,2514,529,0.40412528647822765,4.09546539379475,591.5568361725036,0.23530502632160047
Fresno,Sanger,27353,7805,3.5045483664317745,0.0260361925594542,10514,2875,429,0.3583959899749373,3.6570434782608694,203.2124829265399,0.07068260275705736
Fresno,San Joaquin,4145,932,4.447424892703863,0.050754647951669826,1834,386,104,0.7172413793103448,4.751295336787565,47.303331890956315,0.12254749194548269
Fresno,Selma,24487,7076,3.4605709440361787,0.10122932528250286,9730,2380,-91,-0.0779109589041096,4.088235294117647,716.29870569899,0.30096584273066807
Fresno,Balance Of County,170067,60924,2.7914614930076818,-0.010237815046247867,10546,4363,-291,-0.08105849582172701,2.4171441668576668,-623.7286438776086,-0.14295866236021285
Fresno,Incorporated,856614,278456,3.076299307610538,0.0840498704859973,348645,99454,17580,0.2703949796973053,3.505590524262473,23404.190736048855,0.23532679164285855
Fresno,County Total,1026681,339380,3.025166480051859,0.06760744211966631,359191,103817,17289,0.25200419788356704,3.4598476164789966,22944.613706572374,0.22101017855045296
Glenn,Orland,8527,3122,2.73126201153107,0.08558474250878632,3475,1114,250,0.5707762557077626,3.119389587073609,267.1955661124307,0.2398523932786631
Glenn,Willows,6233,2462,2.531681559707555,-0.05294477392369361,245,222,-3,-0.004347826086956522,1.1036036036036037,-130.3500334001336,-0.5871623126132145
Glenn,Balance Of County,14919,5810,2.567814113597246,-0.05167440680421516,1161,729,54,0.31952662721893493,1.5925925925925926,-300.2283035324902,-0.41183580731480135
Glenn,Incorporated,14760,5584,2.6432664756446993,0.017082969976329933,3720,1336,247,0.21897163120567376,2.784431137724551,95.39130434782601,0.0714006769070554
Glenn,County Total,29679,11394,2.6047919957872563,-0.020078049491922142,4881,2065,301,0.23207401696222052,2.363680387409201,-228.7692959109604,-0.11078416266874597
Humboldt,Arcata,16909,8235,2.0533090467516697,-0.1483579793599182,1698,1926,949,0.3881390593047035,0.881619937694704,-1221.7279600289264,-0.6343343510015195
Humboldt,Blue Lake,1262,586,2.15358361774744,-0.05835210236144325,27,46,41,0.3867924528301887,0.5869565217391305,-34.19433198380567,-0.7433550431262101
Humboldt,Eureka,26113,12052,2.1666943245934283,-0.05547360451303695,-912,271,205,0.056164383561643834,-3.3653136531365315,-668.5678815911193,-2.467040153472765
Humboldt,Ferndale,1368,732,1.8688524590163935,-0.16456257466960622,37,137,4,0.0380952380952381,0.27007299270072993,-120.45980465815177,-0.8792686471397939
Humboldt,Fortuna,11926,5218,2.2855500191644307,-0.034857064051069295,3138,1507,352,0.40274599542334094,2.0822826808228267,-181.88416021847956,-0.12069287340310522
Humboldt,Rio Dell,3299,1491,2.2126089872568744,-0.09118396285845433,302,260,4,0.020618556701030927,1.1615384615384616,-135.95528862195528,-0.5229049562382895
Humboldt,Trinidad,342,252,1.3571428571428572,-0.250197316495659,-20,52,17,0.7727272727272727,-0.38461538461538464,-63.049723756906076,-1.212494687632809
Humboldt,Balance Of County,69632,35131,1.9820671202072244,-0.14661663197756472,7463,8364,1776,1.0711700844390832,0.8922764227642277,-5150.788898003828,-0.6158284191778848
Humboldt,Incorporated,61219,28566,2.143072183714906,-0.08303499797044529,4270,4199,1572,0.21254732287723094,1.0169087878066205,-2371.977752023741,-0.5648911055069638
Humboldt,County Total,130851,63697,2.0542725717066737,-0.11815868565918623,11733,12563,3348,0.3697813121272366,0.9339329777919286,-7526.353800433184,-0.5990888959988206
Imperial,Brawley,27326,8634,3.1649293490850128,0.024257640638197898,8403,2510,738,0.4366863905325444,3.347808764940239,209.44046927020054,0.08344241803593647
Imperial,Calexico,40485,10999,3.68078916265115,-0.045479888695843004,21852,6167,1529,1.0692307692307692,3.5433760337279065,-500.23329576557717,-0.08111452825775534
Imperial,Calipatria,6509,1122,5.801247771836007,0.654110424162906,3819,355,68,0.5811965811965812,10.757746478873239,733.9118959107807,2.0673574532698047
Imperial,El Centro,44997,14832,3.0337783171521036,-0.014662033594922637,13592,4632,1325,0.3941106484235574,2.934369602763385,-217.46728227989206,-0.04694889513814596
Imperial,Holtville,6236,1982,3.146316851664985,-0.0358692966993397,1416,505,57,0.17647058823529413,2.803960396039604,-71.09294605809129,-0.14077811100612136
Imperial,Imperial,20289,6423,3.1588042970574497,0.05370277062067131,16176,5051,747,2.5494880546075085,3.202534151653138,344.9328956965719,0.0682900209258705
Imperial,Westmorland,2305,679,3.394698085419735,0.06268809630530824,925,247,84,0.8484848484848485,3.7449392712550607,42.565217391304316,0.1723288153494102
Imperial,Balance Of County,37887,14140,2.6794200848656295,0.11287227271111676,10548,2785,287,0.4264487369985141,3.7874326750448835,1596.0139361351912,0.5730750219515947
Imperial,Incorporated,148147,44671,3.3164021400908865,0.01979649039640207,66183,19467,4548,0.6218211648892535,3.3997534288796425,884.3290224976809,0.0454270828837356
Imperial,County Total,186034,58811,3.1632517726275697,0.058025137054713204,76731,22252,4835,0.6053587079003381,3.4482743124213555,3412.516335324737,0.15335773572374337
Inyo,Bishop,3924,1949,2.013340174448435,0.030714293624105403,449,170,156,0.2732049036777583,2.6411764705882352,59.86215827338131,0.35213034278459593
Inyo,Balance Of County,14639,7628,1.919113791295228,-0.1013632368600692,-167,695,63,0.20655737704918034,-0.24028776978417266,-773.1987707686073,-1.1125162169332479
Inyo,Incorporated,3924,1949,2.013340174448435,0.030714293624105403,449,170,156,0.2732049036777583,2.6411764705882352,59.86215827338131,0.35213034278459593
Inyo,County Total,18563,9577,1.9382896522919495,-0.07628797928081274,282,865,219,0.25,0.3260115606936416,-730.6099775723428,-0.8446358122223616
Kern,Arvin,22014,4988,4.413392141138733,0.16442071352464943,12728,2538,451,0.822992700729927,5.014972419227738,820.1305190609519,0.32314047244324345
Kern,Bakersfield,397392,132774,2.9929956166116862,0.13281167176069064,222414,66547,8312,0.36574848191498727,3.342209265631809,17633.936906353934,0.26498470113384426
Kern,California City,14120,5246,2.6915745329775067,0.077533784486713,8165,2862,252,0.6666666666666666,2.852900069881202,406.7422334172966,0.142118180788713
Kern,Delano,51070,11132,4.587675170679123,0.3064454114902943,28308,4650,713,0.4442367601246106,6.087741935483871,3411.3503207099557,0.7336237248838614
Kern,Maricopa,1142,462,2.4718614718614718,-0.09247667671808502,-51,24,4,0.25,-2.125,-42.724224643755235,-1.7801760268231348
Kern,Mcfarland,14044,3208,4.37780548628429,0.09179531542307687,7039,1461,100,0.4854368932038835,4.817932922655715,294.4793718772305,0.20156014502206057
Kern,Ridgecrest,29591,12430,2.3806114239742557,-0.05356077369547971,1296,1181,91,0.035257652072839984,1.0973751058425063,-665.7604170348118,-0.563726009343617
Kern,Shafter,20448,5623,3.6364929752800994,0.14210702196631497,12039,2982,353,0.7431578947368421,4.037223340040241,799.0677845165892,0.2679637104348052
Kern,Taft,7142,2561,2.7887543928153065,0.11984884970726467,1240,191,40,0.10152284263959391,6.492146596858639,306.93290410030494,1.6069785554989788
Kern,Tehachapi,12008,3706,3.240151106314085,0.35591570883768014,5826,1119,-19,-0.02679830747531735,5.206434316353888,1319.0236169524428,1.1787521152390017
Kern,Wasco,26815,6509,4.11968044246428,0.19388418881276304,14403,2912,506,0.6495507060333762,4.946085164835165,1261.992184982275,0.4333764371505065
Kern,Balance Of County,318407,115679,2.7525047761477883,0.01110281234080572,55805,19215,3022,0.27171372055385723,2.90424147801197,1284.3622287720573,0.06684164604590462
Kern,Incorporated,595786,188639,3.1583394738097637,0.14276862202249882,313407,86467,10803,0.3551632310878785,3.6245851018307564,26931.73008970215,0.31146830686507165
Kern,County Total,914193,304318,3.0040713989971017,0.09493124789889607,369212,105682,13825,0.3328197597438552,3.4936129142143413,28889.287498096266,0.2733605296843007
Kings,Avenal,12354,2527,4.888800949742778,-0.11130905969875399,2584,751,364,0.8235294117647058,3.440745672436751,-281.27799385875124,-0.3745379412233705
Kings,Corcoran,20476,4163,4.9185683401393225,-0.0011919231438636368,7116,1450,157,0.27399650959860383,4.907586206896552,-4.9619760479042725,-0.0034220524468305327
Kings,Hanford,59981,20589,2.9132546505415515,0.0945146399057236,29518,9144,1225,0.4042904290429043,3.228127734033246,1945.9619210189412,0.21281298348851063
Kings,Lemoore,26809,9535,2.8116413214472993,0.008698512546832423,13187,4648,317,0.18187033849684453,2.8371342512908777,82.9403171340482,0.01784430230939075
Kings,Balance Of County,32923,10347,3.1818884700879484,-0.06904635233194896,-1331,325,113,0.21482889733840305,-4.095384615384615,-714.4226075786769,-2.1982234079343903
Kings,Incorporated,119620,36814,3.249307328733634,0.006528719654288429,52405,15993,2063,0.35642709053213545,3.2767460764084286,240.3482853529731,0.015028342734507165
Kings,County Total,152543,47161,3.234515807552851,-0.016821186250455016,51074,16318,2176,0.34463097877732024,3.1299178820933937,-793.3039647577098,-0.04861526931962923
Lake,Clearlake,13993,7796,1.7948948178553104,0.11230562458586886,2189,481,586,1.013840830449827,4.550935550935551,875.5346492714334,1.8202383560736661
Lake,Lakeport,4774,2441,1.9557558377714053,-0.04439720455132941,384,296,70,0.19830028328611898,1.2972972972972974,-108.373576309795,-0.36612694699255066
Lake,Balance Of County,45173,24272,1.8611156888595912,0.04640131160378093,10736,4910,309,0.35846867749419953,2.1865580448065174,1126.2526352469722,0.2293793554474485
Lake,Incorporated,18767,10237,1.833251929276155,0.07092523471362401,2573,777,656,0.7046186895810956,3.3114543114543116,726.0616277633692,0.9344422493737056
Lake,County Total,63940,34509,1.852849981164334,0.05474594926267373,13309,5687,965,0.5382041271611824,2.34024969228064,1889.2279631056072,0.3322011540540895
Lassen,Susanville,12729,4264,2.9852251407129455,0.2811984255512079,5450,1140,-98,-0.12531969309462915,4.780701754385965,1199.0300865503505,1.051780777675746
Lassen,Balance Of County,14843,8514,1.743363871270848,-0.37932505316337845,-5476,1280,94,0.3418181818181818,-4.278125,-3229.5735026330035,-2.523104298932034
Lassen,Incorporated,12729,4264,2.9852251407129455,0.2811984255512079,5450,1140,-98,-0.12531969309462915,4.780701754385965,1199.0300865503505,1.051780777675746
Lassen,County Total,27572,12778,2.1577711691970576,-0.19015168597205878,-26,2420,-4,-0.003784295175023652,-0.010743801652892562,-2429.7582433509674,-1.0040323319632096
Los Angeles,Agoura Hills,20457,7643,2.6765667931440533,-0.09074196504672216,72,718,423,0.5121065375302664,0.10027855153203342,-693.5408388520972,-0.9659343159499961
Los Angeles,Alhambra,86258,31982,2.6970796072790946,-0.027517606731313766,4171,2384,121,0.00857365549493375,1.7495805369127517,-880.0680984808798,-0.36915608157755025
Los Angeles,Arcadia,57660,21289,2.708440978909296,0.09271042724614946,9376,1809,50,0.007916402786573781,5.182974018794915,1973.712285643277,1.0910515675197772
Los Angeles,Artesia,16484,4732,3.4835164835164836,0.02135694104136946,1020,198,41,0.04515418502202643,5.151515151515151,101.06104500775996,0.5104093182210099
Los Angeles,Avalon,3973,2295,1.7311546840958605,0.12008911705722566,1055,407,527,0.5181907571288102,2.592137592137592,275.60452364633306,0.6771609917600321
Los Angeles,Azusa,49587,14664,3.381546644844517,0.08300098355382485,8384,1468,48,0.009034443817052512,5.7111716621253406,1217.1264228332889,0.8291051926657281
Los Angeles,Baldwin Park,75935,18075,4.201106500691563,0.04097517056657103,6605,896,61,0.016991643454038998,7.371651785714286,740.626207990769,0.8265917499896975
Los Angeles,Bell,36319,9305,3.9031703385276733,0.06776383973515662,1954,-96,-1003,-0.23206848681166126,-20.354166666666668,630.5425287356322,999999
Los Angeles,Bellflower,77458,25138,3.0813111623836424,0.20216745617093437,15643,1021,-127,-0.013451964834233662,15.321253672869735,5082.085513224945,4.9775568200048435
Los Angeles,Bell Gardens,42233,10019,4.2152909472003195,-0.05015244755866614,-82,484,-889,-0.2832112137623447,-0.16942148760330578,-502.4773720902753,-1.0381763886162714
Los Angeles,Beverly Hills,33399,16436,2.032063762472621,-0.0006525120466354554,1428,713,474,0.04794174168099525,2.002805049088359,-10.724687998498666,-0.015041638146561944
Los Angeles,Bradbury,1045,407,2.5675675675675675,-0.12969060737456395,216,126,5,0.8333333333333334,1.7142857142857142,-52.78407720144753,-0.41892124763053595
Los Angeles,Burbank,103969,45069,2.306884998557767,0.01538510438500302,10320,3849,2979,0.14860078814785255,2.681215900233827,693.391269527704,0.18014842024622085
Los Angeles,Calabasas,24341,9371,2.597481592145982,0,24341,9371,2253,0,2.597481592145982,0,0.0
Los Angeles,Carson,91668,26676,3.4363472784525415,-8.614997727765766e-05,7673,2235,786,0.29416167664670656,3.433109619686801,-2.2981367938568837,-0.0010282491247681806
Los Angeles,Cerritos,50048,16204,3.088620093803999,-0.10869491883971066,-3196,839,361,0.3628140703517588,-3.8092967818831944,-1761.2924648786718,-2.0992758818577735
Los Angeles,Claremont,35707,12544,2.8465401785714284,-0.05071682177355768,3097,1669,1029,0.5317829457364341,1.8556021569802277,-636.1918123275068,-0.3811814333897584
Los Angeles,Commerce,12792,3468,3.688581314878893,0.012194130906198076,657,138,-61,-0.07376058041112454,4.760869565217392,42.289245982694695,0.3064438114688021
Los Angeles,Compton,97775,24652,3.966209638163232,0.01897921353699511,7321,1413,-451,-0.08610156548300878,5.181174805378627,467.8755721140028,0.3311221317155009
Los Angeles,Covina,48833,16924,2.8854289766012764,0.07481097367583317,5501,783,-425,-0.07835545722713864,7.025542784163473,1266.1009184897998,1.6169871245080458
Los Angeles,Cudahy,23750,5778,4.110418830044998,-0.02432272500663053,933,362,-414,-0.17898832684824903,2.5773480662983426,-140.53670508831135,-0.38822294223290427
Los Angeles,Culver City,39805,17895,2.2243643475831236,-0.028499854584567795,1012,952,136,0.01525861101761472,1.0630252100840336,-510.0048977908386,-0.5357194304525615
Los Angeles,Diamond Bar,56717,18818,3.0139759804442554,-0.008069911339854543,3045,1154,844,0.37180616740088107,2.6386481802426345,-151.859591593382,-0.1315941001675754
Los Angeles,Downey,111425,35860,3.1072225320691578,0.16556523440615287,19981,1558,693,0.05436146846564167,12.824775353016689,5937.169305804645,3.8107633541749966
Los Angeles,Duarte,21457,7389,2.9039112193801597,-0.05100024352173766,741,619,38,0.024771838331160364,1.197092084006462,-376.84079938212005,-0.6087896597449436
Los Angeles,El Monte,116465,29623,3.9315734395571007,0.005169140525412395,10303,2481,-395,-0.047345079707539255,4.152760983474406,153.12544978429196,0.06171924618472066
